condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
Maltotetraose	Varel_Bryant_medium	maltttr	high	2	0.0	False	EX_maltttr_e	471	43
Maltohexaose	Varel_Bryant_medium	malthx	high	2	0.0	False	EX_malthx_e	471	42
Laminaribiose	Varel_Bryant_medium	lmn2	medium	2	0.7735164122649182	True		19	40
Stachyose - 70%	Varel_Bryant_medium	stys	medium	2	0.0	False	EX_stys_e	471	44
Melibiose	Varel_Bryant_medium	melib	high	2	0.0	False	EX_melib_e	471	35
D-Glucose	Varel_Bryant_medium	glc__D	high	10	0.39813020020373135	True		20	41
D-Trehalose dihydrate	Varel_Bryant_medium	tre	high	4	0.0	False	EX_tre_e	471	50
D-Arabinose	Varel_Bryant_medium	arab__D	high	2	0.0	False		471	58
D-Raffinose pentahydrate	Varel_Bryant_medium	raffin	high	2	1.1709841662121203	True		20	50
L-Fucose	Varel_Bryant_medium	fuc__L	high	2	0.2122941114953225	True		23	43
Beta-Lactose	Varel_Bryant_medium	lcts	high	2	0.729353328493031	True		19	49
D-Fructose	Varel_Bryant_medium	fru	high	2	0.0	False	EX_fru_e	471	49
D-Maltose monohydrate	Varel_Bryant_medium	malt	high	2	0.0	False		471	48
L-Rhamnose monohydrate	Varel_Bryant_medium	rmn	high	2	0.21229411149532412	True		24	56
D-Mannose	Varel_Bryant_medium	man	high	2	0.0	False	EX_man_e	471	48
D-Xylose	Varel_Bryant_medium	xyl__D	high	2	0.32452506058368147	True		20	55
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	galur	high	2	0.3186731406822778	True		24	50
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	acgam	high	2	0.0	False	EX_acgam_e	471	47
L-Arabinose	Varel_Bryant_medium	arab__L	high	2	0.32452506058389546	True		23	54
D-Galactose	Varel_Bryant_medium	gal	high	2	0.26646458001349604	True		20	49
D-Glucosamine Hydrochloride	Varel_Bryant_medium	gam	high	1	0.0	False	EX_gam_e	471	44
D-Ribose	Varel_Bryant_medium	rib__D	high	1	0.2582804349260313	True		20	54
Red Arabinan from sugar-beet	Varel_Bryant_medium	araban__L	medium	3	0.9722502892385328	True		24	41
Amylose from potato	Varel_Bryant_medium	amylose300	medium	2	13.225036964354585	True		21	37
Starch	Varel_Bryant_medium	starch1200	medium	3	10.229176344921047	True		22	43
