iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line	gene_symbols	unmapped_entrez	orpha_code	orpha_name	orpha_match_score	orpha_assoc_type	orpha_assoc_status	n_candidate_disorders	omim_ids	icd10	vmh_name	hmdb	chebi	kegg	hpo_check	hpo_evidence
CPS1	4	CPS1 'Carbamoyl phosphate synthetase I deficiency	1373.1	_CBPSam;_r0034	EX_5oxpro[u]	5oxpro	u	urine	Increased	urine	Increased (urine)	True	287	324	CPS1		147	Carbamoyl-phosphate synthetase 1 deficiency	0.913	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	237300	E72.2	5-Oxoprolinate	HMDB00267	CHEBI:18183	C01879	not_in_hpo_annotations	
CPS1	4	CPS1 'Carbamoyl phosphate synthetase I deficiency	1373.1	_CBPSam;_r0034	DM_citr_L[bc]	citr_L	bc	blood	Decreased	blood	Decreased (blood)	False	287	324	CPS1		147	Carbamoyl-phosphate synthetase 1 deficiency	0.913	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	237300	E72.2	L-Citrulline	HMDB00904	CHEBI:16349	C00327	not_in_hpo_annotations	
CPS1	4	CPS1 'Carbamoyl phosphate synthetase I deficiency	1373.1	_CBPSam;_r0034	DM_gln_L[bc]	gln_L	bc	blood	Increased	blood	Increased (blood)	False	287	324	CPS1		147	Carbamoyl-phosphate synthetase 1 deficiency	0.913	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	237300	E72.2	L-Glutamine	HMDB00641	CHEBI:18050	C00064	not_in_hpo_annotations	
3MGA	5	3MGA 3-Methylglutaconic Aciduria Type I	549.1	_MGCHrm	EX_3ivcrn[u]	3ivcrn	u	urine	Increased	urine	Increased (urine)	False	326	338	AUH		67046	3-methylglutaconic aciduria type 1	0.904	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	250950	E71.1	3-Hydroxy-Isovaleryl Carnitine				not_in_hpo_annotations	
3MGA	5	3MGA 3-Methylglutaconic Aciduria Type I	549.1	_MGCHrm	EX_3mglutac[u]	3mglutac	u	urine	Increased	urine	Increased (urine)	False	326	338	AUH		67046	3-methylglutaconic aciduria type 1	0.904	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	250950	E71.1	3-Methyl-Glutaconate				corroborated	HP:0003535 3-Methylglutaconic aciduria [Very frequent (99-80%)]
3MGA	5	3MGA 3-Methylglutaconic Aciduria Type I	549.1	_MGCHrm	EX_3mglutr[u]	3mglutr	u	urine	Increased	urine	Increased (urine)	False	326	338	AUH		67046	3-methylglutaconic aciduria type 1	0.904	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	250950	E71.1	3-Methyl-Glutarate				not_in_hpo_annotations	
AMA1	6	AMA1 Aminoacylase 1 Deficiency	95.1	_ACODA;_RE2640C	EX_acglu[u]	acglu	u	urine	Increased	urine	Increased (urine)	False	340	354	ACY1		137754	Aminoacylase 1 deficiency	0.909	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	609924	E72.8	N-Acetyl-L-Glutamate	HMDB01138	CHEBI:12575	C00624	no_hpo_metabolite_term_for_disorder	
AMA1	6	AMA1 Aminoacylase 1 Deficiency	95.1	_ACODA;_RE2640C	EX_acgly[u]	acgly	u	urine	Increased	urine	Increased (urine)	False	340	354	ACY1		137754	Aminoacylase 1 deficiency	0.909	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	609924	E72.8	Acetyl-Glycine				no_hpo_metabolite_term_for_disorder	
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_34dhphe[u]	34dhphe	u	urine	Increased	urine/blood	Increased (urine/blood)	True	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	L-Dopa	HMDB00181	CHEBI:15765	C00355	not_in_hpo_annotations	
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_34dhphe[bc]	34dhphe	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	L-Dopa	HMDB00181	CHEBI:15765	C00355	not_in_hpo_annotations	
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_5htrp[u]	5htrp	u	urine	Increased	urine/blood	Increased (urine/blood)	True	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	5-Hydroxy-L-Tryptophan	HMDB00472	CHEBI:28171	C01017	not_in_hpo_annotations	
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_5htrp[bc]	5htrp	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	5-Hydroxy-L-Tryptophan	HMDB00472	CHEBI:28171	C01017	not_in_hpo_annotations	
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_adrnl[bc]	adrnl	bc	blood	Decreased	blood	Decreased (blood)	False	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	Adrenaline	HMDB00068	CHEBI:28918	C00788	not_in_hpo_annotations	
