iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line	gene_symbols	unmapped_entrez	orpha_code	orpha_name	orpha_match_score	orpha_assoc_type	orpha_assoc_status	n_candidate_disorders	omim_ids	icd10	vmh_name	hmdb	chebi	kegg	hpo_check	hpo_evidence
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_crtstrn[bc]	crtstrn	bc	blood	Decreased	blood	Decreased (blood)	False	611	654		1538						0			Corticosterone		CHEBI:101161		no_hpo_metabolite_term_for_disorder	
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_andrstndn[bc]	andrstndn	bc	blood	Decreased	blood	Decreased (blood)	False	611	654		1538						0			Androst-4-Ene-3,17-Dione	HMDB00053	CHEBI:16422	C00280	no_hpo_metabolite_term_for_disorder	
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_dhea[bc]	dhea	bc	blood	Decreased	blood	Decreased (blood)	False	611	654		1538						0			3Beta-Hydroxyandrost-5-En-17-One	HMDB00077	CHEBI:220467	C01227	no_hpo_metabolite_term_for_disorder	
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_11docrtstrn[bc]	11docrtstrn	bc	blood	Decreased	blood	Decreased (blood)	False	611	654		1538						0			11-Deoxycorticosterone		CHEBI:16973	C03205	no_hpo_metabolite_term_for_disorder	
CMO1	14	CMO1 Corticosterone Methyloxidase Type I Deficiency	1585.1	_P45011B21m	DM_aldstrn[bc]	aldstrn	bc	blood	Decreased	not detectable, blood	Decreased (Not detectable, blood)	False	656	686	CYP11B2		556030	Early-onset familial hypoaldosteronism	0.584	Disease-causing germline mutation(s) in	Assessed	2		E27.4	Aldosterone	HMDB00037	CHEBI:27584	C01780	corroborated	HP:0004319 Decreased circulating aldosterone level [Frequent (79-30%)]
DGK	15	DGK Deoxyguanosine Kinase Deficiency	1716.1	_r0456	DM_lac_L[bc]	lac_L	bc	blood	Increased	blood	Increased (blood)	False	688	720	DGUOK		329314	Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency	0.404	Disease-causing germline mutation(s) in	Assessed	2	617070	G71.3	(S)-Lactate	HMDB00190	CHEBI:422	C00186	no_hpo_metabolite_term_for_disorder	
DPYR	16	DPYR Dihydropyrimidinuria	1807.1	_DHPM2	EX_thym[u]	thym	u	urine	Increased	urine	Increased (urine)	False	722	741	DPYS		38874	Dihydropyrimidinuria	0.889	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	222748	E79.8	Thymine	HMDB00262	CHEBI:17821	C00178	corroborated	HP:6000119 Elevated urinary dihydrothymine level [Frequent (79-30%)]
DPYR	16	DPYR Dihydropyrimidinuria	1807.1	_DHPM2	EX_ura[u]	ura	u	urine	Increased	urine	Increased (urine)	False	722	741	DPYS		38874	Dihydropyrimidinuria	0.889	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	222748	E79.8	Uracil	HMDB00300	CHEBI:17568	C00106	corroborated	HP:0012127 Uraciluria [Frequent (79-30%)]
DPYR	16	DPYR Dihydropyrimidinuria	1807.1	_DHPM2	EX_56dura[u]	56dura	u	urine	Increased	urine	Increased (urine)	False	722	741	DPYS		38874	Dihydropyrimidinuria	0.889	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	222748	E79.8	5,6-Dihydrouracil	HMDB00076	CHEBI:15901	C00429	corroborated	HP:0012127 Uraciluria [Frequent (79-30%)]
DPYR	16	DPYR Dihydropyrimidinuria	1807.1	_DHPM2	EX_56dthm[u]	56dthm	u	urine	Increased	urine	Increased (urine)	False	722	741	DPYS		38874	Dihydropyrimidinuria	0.889	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	222748	E79.8	5,6-Dihydrothymine	HMDB00079	CHEBI:27468	C00906	corroborated	HP:6000119 Elevated urinary dihydrothymine level [Frequent (79-30%)]
FED	17	FED Fish-Eye Disease/ Lcat Deficiency	3931.1		DM_chsterol[bc]	chsterol	bc	blood	Decreased	blood	Decreased (blood)	False	743	782	LCAT		79293	Familial LCAT deficiency	0.656	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	245900	E78.6	Cholesterol	HMDB00067	CHEBI:1307929	C00187	no_hpo_metabolite_term_for_disorder	
FED	17	FED Fish-Eye Disease/ Lcat Deficiency	3931.1		DM_tag_hs[bc]	tag_hs	bc	blood	Increased	blood	Increased (blood)	False	743	782	LCAT		79293	Familial LCAT deficiency	0.656	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	245900	E78.6	Triglyceride				no_hpo_metabolite_term_for_disorder	
EF	18	EF Fructosuria(Essential Fructosuria)	3795.1	_HMR_8761;_HMR_9800;_KHK;_KHK2;_KHK3	EX_fru[u]	fru	u	urine	Increased	urine	Increased (urine)	False	784	800	KHK		2056	Essential fructosuria	0.724	Disease-causing germline mutation(s) in	Assessed	1	229800	E74.1	D-Fructose	HMDB00660	CHEBI:28645	C02336	not_in_hpo_annotations	
FIGLU	19	FIGLU Glutamate Formiminotransferase Deficiency	10841.1	_FORTHFC;_GluForTx;_HMR_9726	EX_forglu[u]	forglu	u	urine	Increased	urine	Increased (urine)	False	802	818	FTCD		51208	Formiminoglutamic aciduria	0.932	Disease-causing germline mutation(s) in	Assessed	1	229100	E70.8	N-Formimidoyl-L-Glutamate	HMDB00854	CHEBI:7274	C00439	not_in_hpo_annotations	
GA1	20	GA1 Glutaric Acidemia Type I.	2639.1	_GLUTCOADHm;_r0541	EX_c5dc[u]	c5dc	u	urine	Increased	blood/urine	Increased (blood/urine)	True	820	852	GCDH		25	Glutaryl-CoA dehydrogenase deficiency	0.868	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	231670	E72.3	Glutaryl Carnitine				corroborated	HP:0003150 Glutaric aciduria [Very frequent (99-80%)]
GA1	20	GA1 Glutaric Acidemia Type I.	2639.1	_GLUTCOADHm;_r0541	DM_c5dc[bc]	c5dc	bc	blood	Increased	blood/urine	Increased (blood/urine)	False	820	852	GCDH		25	Glutaryl-CoA dehydrogenase deficiency	0.868	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	231670	E72.3	Glutaryl Carnitine				corroborated_other_biofluid	HP:0003150 Glutaric aciduria [Very frequent (99-80%)]
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_c10crn[bc]	c10crn	bc	blood	Increased	blood	Increased (blood)	False	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Decanoyl Carnitine	HMDB00651			no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_c4crn[bc]	c4crn	bc	blood	Increased	blood	Increased (blood)	False	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Butyryl Carnitine	HMDB02013		C02862	no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_ddeccrn[bc]	ddeccrn	bc	blood	Increased	blood	Increased (blood)	False	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Lauroyl Carnitine				no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_ttdcrn[bc]	ttdcrn	bc	blood	Increased	blood	Increased (blood)	False	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Tetradecenoylcarnitine(5)				no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_pmtcrn[bc]	pmtcrn	bc	blood	Increased	blood	Increased (blood)	False	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	L-Palmitoylcarnitine	HMDB00222	CHEBI:17490	C02990	no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_4hpro_LT[u]	4hpro_LT	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Trans-4-Hydroxy-L-Proline	HMDB00725	CHEBI:18095	C01157	no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_3hivac[u]	3hivac	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	3-Hydroxyisovaleric Acid				no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_CE4970[u]	CE4970	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	2-Methylbutyrylglycine	HMDB00339	CHEBI:240943		no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_CE4969[u]	CE4969	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Isobutyrylglycine	HMDB00730			no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_CE4968[u]	CE4968	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Isovalerylglycine	HMDB00678			no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_ethmalac[u]	ethmalac	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Ethylmalonic Acid				no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_adpac[u]	adpac	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Adipic Acid	HMDB00448	CHEBI:30832	C06104	no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_subeac[u]	subeac	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Suberic Acid	HMDB00893	CHEBI:9300	C08278	no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_sebacid[u]	sebacid	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	Sebacicacid	HMDB00792	CHEBI:41865	C08277	no_hpo_metabolite_term_for_disorder	
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_pro_L[u]	pro_L	u	urine	Increased	urine	Increased (urine)	True	854	917	ETFA		394532	Multiple acyl-CoA dehydrogenase deficiency, mild type	0.688	Disease-causing germline mutation(s) in	Assessed	2	231680;255100	E71.3	L-Proline	HMDB00162	CHEBI:17203	C00148	no_hpo_metabolite_term_for_disorder	
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	EX_5oxpro[u]	5oxpro	u	urine	Increased	urine	Increased (urine)	False	919	966	GSS		289846	Glutathione synthetase deficiency with 5-oxoprolinuria	0.893	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	266130	D55.1	5-Oxoprolinate	HMDB00267	CHEBI:18183	C01879	no_hpo_metabolite_term_for_disorder	
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	EX_leuktrE4[u]	leuktrE4	u	urine	Increased	urine/blood	Increased (urine/blood)	True	919	966	GSS		289846	Glutathione synthetase deficiency with 5-oxoprolinuria	0.893	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	266130	D55.1	Leukotriene E4	HMDB02200	CHEBI:15650	C05952	no_hpo_metabolite_term_for_disorder	
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	EX_leuktrC4[u]	leuktrC4	u	urine	Increased	urine/blood	Increased (urine/blood)	True	919	966	GSS		289846	Glutathione synthetase deficiency with 5-oxoprolinuria	0.893	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	266130	D55.1	Leukotriene C4	HMDB01198	CHEBI:16978	C02166	no_hpo_metabolite_term_for_disorder	
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_5oxpro[bc]	5oxpro	bc	blood	Decreased	blood	Decreased (blood)	False	919	966	GSS		289846	Glutathione synthetase deficiency with 5-oxoprolinuria	0.893	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	266130	D55.1	5-Oxoprolinate	HMDB00267	CHEBI:18183	C01879	no_hpo_metabolite_term_for_disorder	
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_leuktrE4[bc]	leuktrE4	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	919	966	GSS		289846	Glutathione synthetase deficiency with 5-oxoprolinuria	0.893	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	266130	D55.1	Leukotriene E4	HMDB02200	CHEBI:15650	C05952	no_hpo_metabolite_term_for_disorder	
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_leuktrC4[bc]	leuktrC4	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	919	966	GSS		289846	Glutathione synthetase deficiency with 5-oxoprolinuria	0.893	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	266130	D55.1	Leukotriene C4	HMDB01198	CHEBI:16978	C02166	no_hpo_metabolite_term_for_disorder	
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_leuktrD4[bc]	leuktrD4	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	919	966	GSS		289846	Glutathione synthetase deficiency with 5-oxoprolinuria	0.893	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	266130	D55.1	Leukotriene D4		CHEBI:28666	C05951	no_hpo_metabolite_term_for_disorder	
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_pro_L[bc]	pro_L	bc	blood	Increased	blood	Increased (blood)	False	919	966	GSS		289846	Glutathione synthetase deficiency with 5-oxoprolinuria	0.893	Disease-causing germline mutation(s) (loss of function) in	Assessed	2	266130	D55.1	L-Proline	HMDB00162	CHEBI:17203	C00148	no_hpo_metabolite_term_for_disorder	
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	EX_acac[u]	acac	u	urine	Increased	urine	Increased (urine)	True	968	1012	AGL		366	Glycogen storage disease due to glycogen debranching enzyme deficiency	0.756	Disease-causing germline mutation(s) in	Assessed	1	232400	E74.0	Acetoacetate	HMDB00060	CHEBI:15344	C00164	not_in_hpo_annotations	
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	EX_acetone[u]	acetone	u	urine	Increased	urine	Increased (urine)	True	968	1012	AGL		366	Glycogen storage disease due to glycogen debranching enzyme deficiency	0.756	Disease-causing germline mutation(s) in	Assessed	1	232400	E74.0	Acetone	HMDB01659	CHEBI:15347	C00207	not_in_hpo_annotations	
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	EX_bhb[u]	bhb	u	urine	Increased	urine	Increased (urine)	True	968	1012	AGL		366	Glycogen storage disease due to glycogen debranching enzyme deficiency	0.756	Disease-causing germline mutation(s) in	Assessed	1	232400	E74.0	(R)-3-Hydroxybutyrate	HMDB00011	CHEBI:17066	C01089	not_in_hpo_annotations	
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	DM_chsterol[bc]	chsterol	bc	blood	Increased	blood	Increased (blood)	False	968	1012	AGL		366	Glycogen storage disease due to glycogen debranching enzyme deficiency	0.756	Disease-causing germline mutation(s) in	Assessed	1	232400	E74.0	Cholesterol	HMDB00067	CHEBI:1307929	C00187	not_in_hpo_annotations	
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	DM_glc_D[bc]	glc_D	bc	blood	Increased	blood	Increased (blood)	False	968	1012	AGL		366	Glycogen storage disease due to glycogen debranching enzyme deficiency	0.756	Disease-causing germline mutation(s) in	Assessed	1	232400	E74.0	D-Glucose	HMDB00122	CHEBI:4167	C00031	direction_conflict	HP:0001943 Hypoglycemia [Very frequent (99-80%)]
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	DM_lac_L[bc]	lac_L	bc	blood	Increased	blood	Increased (blood)	False	968	1012	AGL		366	Glycogen storage disease due to glycogen debranching enzyme deficiency	0.756	Disease-causing germline mutation(s) in	Assessed	1	232400	E74.0	(S)-Lactate	HMDB00190	CHEBI:422	C00186	not_in_hpo_annotations	
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	EX_creat[u]	creat	u	urine	Decreased	urine/blood	Decreased (urine/blood)	True	1015	1054	GAMT		382	Guanidinoacetate methyltransferase deficiency	0.957	Disease-causing germline mutation(s) in	Assessed	1	612736	E72.8	Creatine	HMDB00064	CHEBI:16919	C00300	no_hpo_metabolite_term_for_disorder	
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	DM_creat[bc]	creat	bc	blood	Decreased	urine/blood	Decreased (urine/blood)	False	1015	1054	GAMT		382	Guanidinoacetate methyltransferase deficiency	0.957	Disease-causing germline mutation(s) in	Assessed	1	612736	E72.8	Creatine	HMDB00064	CHEBI:16919	C00300	no_hpo_metabolite_term_for_disorder	
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	DM_crtn[bc]	crtn	bc	blood	Increased	blood	Increased (blood)	False	1015	1054	GAMT		382	Guanidinoacetate methyltransferase deficiency	0.957	Disease-causing germline mutation(s) in	Assessed	1	612736	E72.8	Creatinine	HMDB00562	CHEBI:16737	C00791	no_hpo_metabolite_term_for_disorder	
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	EX_urate[u]	urate	u	urine	Increased	urine	Increased (urine)	True	1015	1054	GAMT		382	Guanidinoacetate methyltransferase deficiency	0.957	Disease-causing germline mutation(s) in	Assessed	1	612736	E72.8	Urate	HMDB00289	CHEBI:17775	C00366	no_hpo_metabolite_term_for_disorder	
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	EX_gudac[u]	gudac	u	urine	Increased	urine	Increased (urine)	True	1015	1054	GAMT		382	Guanidinoacetate methyltransferase deficiency	0.957	Disease-causing germline mutation(s) in	Assessed	1	612736	E72.8	Guanidinoacetic Acid	HMDB00128	CHEBI:16344	C00581	no_hpo_metabolite_term_for_disorder	
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	EX_arg_L[u]	arg_L	u	urine	Increased	urine	Increased (urine)	False	1055	1100	OAT		414	Gyrate atrophy of choroid and retina	0.889	Disease-causing germline mutation(s) in	Assessed	1	258870	E72.4	L-Arginine	HMDB00517	CHEBI:16467	C00062	not_in_hpo_annotations	
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	DM_gln_L[bc]	gln_L	bc	blood	Decreased	blood	Decreased (blood)	False	1055	1100	OAT		414	Gyrate atrophy of choroid and retina	0.889	Disease-causing germline mutation(s) in	Assessed	1	258870	E72.4	L-Glutamine	HMDB00641	CHEBI:18050	C00064	not_in_hpo_annotations	
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	EX_glu_L[u]	glu_L	u	urine	Decreased	blood	Decreased (blood)	True	1055	1100	OAT		414	Gyrate atrophy of choroid and retina	0.889	Disease-causing germline mutation(s) in	Assessed	1	258870	E72.4	L-Glutamate	HMDB00148	CHEBI:16015	C00025	not_in_hpo_annotations	
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	EX_lys_L[u]	lys_L	u	urine	Decreased	urine/blood	Decreased (urine/blood)	True	1055	1100	OAT		414	Gyrate atrophy of choroid and retina	0.889	Disease-causing germline mutation(s) in	Assessed	1	258870	E72.4	L-Lysine	HMDB00182	CHEBI:18019	C00047	not_in_hpo_annotations	
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	DM_lys_L[bc]	lys_L	bc	blood	Decreased	urine/blood	Decreased (urine/blood)	False	1055	1100	OAT		414	Gyrate atrophy of choroid and retina	0.889	Disease-causing germline mutation(s) in	Assessed	1	258870	E72.4	L-Lysine	HMDB00182	CHEBI:18019	C00047	not_in_hpo_annotations	
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	EX_orn[u]	orn	u	urine	Increased	urine/blood/csf	Increased (urine/blood/CSF)	True	1055	1100	OAT		414	Gyrate atrophy of choroid and retina	0.889	Disease-causing germline mutation(s) in	Assessed	1	258870	E72.4	Ornithine	HMDB00214	CHEBI:15729	C00077	corroborated_other_biofluid	HP:0012026 Hyperornithinemia [Very frequent (99-80%)]
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	DM_orn[bc]	orn	bc	blood	Increased	urine/blood/csf	Increased (urine/blood/CSF)	False	1055	1100	OAT		414	Gyrate atrophy of choroid and retina	0.889	Disease-causing germline mutation(s) in	Assessed	1	258870	E72.4	Ornithine	HMDB00214	CHEBI:15729	C00077	corroborated	HP:0012026 Hyperornithinemia [Very frequent (99-80%)]
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	DM_orn[csf]	orn	csf	csf	Increased	csf	Increased (CSF)	False	1055	1100	OAT		414	Gyrate atrophy of choroid and retina	0.889	Disease-causing germline mutation(s) in	Assessed	1	258870	E72.4	Ornithine	HMDB00214	CHEBI:15729	C00077	corroborated_other_biofluid	HP:0012026 Hyperornithinemia [Very frequent (99-80%)]
HFI	26	HFI Hereditary Fructose Intolerance	229.1	_FBA5	EX_fru[u]	fru	u	urine	Increased	urine/blood	Increased (urine/blood)	True	1102	1135	ALDOB		469	Hereditary fructose intolerance	0.939	Disease-causing germline mutation(s) in	Assessed	1	229600	E74.1	D-Fructose	HMDB00660	CHEBI:28645	C02336	not_in_hpo_annotations	
HFI	26	HFI Hereditary Fructose Intolerance	229.1	_FBA5	DM_fru[bc]	fru	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	1102	1135	ALDOB		469	Hereditary fructose intolerance	0.939	Disease-causing germline mutation(s) in	Assessed	1	229600	E74.1	D-Fructose	HMDB00660	CHEBI:28645	C02336	not_in_hpo_annotations	
HMG	27	HMG Hmg-Coa Lyase Deficiency	3155.1	_HMGLx	DM_c6dc[bc]	c6dc	bc	blood	Increased	blood	Increased (blood)	False	1137	1170	HMGCL		20	3-hydroxy-3-methylglutaric aciduria	0.923	Disease-causing germline mutation(s) in	Assessed	1	246450	E71.1	Adipoyl Carnitine				not_in_hpo_annotations	
HMG	27	HMG Hmg-Coa Lyase Deficiency	3155.1	_HMGLx	EX_adpac[u]	adpac	u	urine	Increased	urine	Increased (urine)	True	1137	1170	HMGCL		20	3-hydroxy-3-methylglutaric aciduria	0.923	Disease-causing germline mutation(s) in	Assessed	1	246450	E71.1	Adipic Acid	HMDB00448	CHEBI:30832	C06104	not_in_hpo_annotations	
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	DM_met_L[bc]	met_L	bc	blood	Increased	blood	Increased (blood)	False	1172	1218	CBS		394	Homocystinuria due to cystathionine beta-synthase deficiency	0.791	Disease-causing germline mutation(s) in	Assessed	1	236200	E72.1	L-Methionine	HMDB00696	CHEBI:16643	C00073	not_in_hpo_annotations	
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	DM_orn[bc]	orn	bc	blood	Increased	blood	Increased (blood)	False	1172	1218	CBS		394	Homocystinuria due to cystathionine beta-synthase deficiency	0.791	Disease-causing germline mutation(s) in	Assessed	1	236200	E72.1	Ornithine	HMDB00214	CHEBI:15729	C00077	not_in_hpo_annotations	
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	EX_Lhcystin[u]	Lhcystin	u	urine	Increased	urine/blood	Increased (urine/blood)	True	1172	1218	CBS		394	Homocystinuria due to cystathionine beta-synthase deficiency	0.791	Disease-causing germline mutation(s) in	Assessed	1	236200	E72.1	L-Homocystine				corroborated_other_biofluid	HP:0002160 Hyperhomocystinemia [Very frequent (99-80%)]
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	DM_Lhcystin[bc]	Lhcystin	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	1172	1218	CBS		394	Homocystinuria due to cystathionine beta-synthase deficiency	0.791	Disease-causing germline mutation(s) in	Assessed	1	236200	E72.1	L-Homocystine				corroborated	HP:0002160 Hyperhomocystinemia [Very frequent (99-80%)]
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	EX_hcys_L[u]	hcys_L	u	urine	Increased	urine/blood	Increased (urine/blood)	True	1172	1218	CBS		394	Homocystinuria due to cystathionine beta-synthase deficiency	0.791	Disease-causing germline mutation(s) in	Assessed	1	236200	E72.1	L-Homocysteine	HMDB00742	CHEBI:17230	C00155	not_in_hpo_annotations	
