condition	media	wt_growth	n_genes
Sodium L-Lactate	ShewMM_noCarbon	0.0	675
Sodium pyruvate	ShewMM_noCarbon	0.0	675
Sodium propionate	ShewMM_noCarbon	0.0	675
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	0.0	675
Adenosine	ShewMM_noCarbon	0.0	675
Uridine	ShewMM_noCarbon	0.0	675
Inosine	ShewMM_noCarbon	0.0	675
Cytidine	ShewMM_noCarbon	0.0	675
Sodium D,L-Lactate	ShewMM_noCarbon	0.0	675
L-Glutamine	ShewMM_noCarbon	0.0	675
L-Isoleucine	ShewMM_noCarbon	0.0	675
casamino acids	ShewMM_noCarbon	0.0	675
