Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml__shipp WT grows  0/25 | no gene-level scoring (WT grows nowhere)
Putida  Pseudomonas_putida_KT2440_xml_gapfilled__gapfill WT grows 28/43 | AUC-PR 0.475 (card 0.475) MCC 0.553 (card 0.553) | pairs 29064 exp-important 1727 pred-no-growth 1503
Putida  Pseudomonas_putida_KT2440_xml_gapfilled__gapfill WT grows 28/43 | AUC-PR 0.494 (card 0.494) MCC 0.569 (card 0.569) | pairs 29064 exp-important 1727 pred-no-growth 1483
Putida  Pseudomonas_putida_KT2440_xml_gapfilled__gapfill WT grows 28/43 | AUC-PR 0.494 (card 0.494) MCC 0.569 (card 0.569) | pairs 29064 exp-important 1727 pred-no-growth 1483
Putida  Pseudomonas_putida_KT2440_xml_gapfilled__gapfill WT grows 34/43 | AUC-PR 0.483 (card 0.483) MCC 0.561 (card 0.561) | pairs 35598 exp-important 2059 pred-no-growth 1787
Putida  Pseudomonas_putida_KT2440_xml_gapfilled__gapfill WT grows 28/43 | AUC-PR 0.589 (card 0.589) MCC 0.644 (card 0.644) | pairs 28588 exp-important 1720 pred-no-growth 943
Putida  iJN1463__curated                                 WT grows 36/43 | AUC-PR 0.472 (card 0.472) MCC 0.490 (card 0.490) | pairs 40356 exp-important 2208 pred-no-growth 3466
Putida  iJN1463__curated__patched-v0.1                   WT grows 36/43 | AUC-PR 0.501 (card 0.501) MCC 0.510 (card 0.510) | pairs 40356 exp-important 2208 pred-no-growth 3536
Smeli   Sinorhizobium_meliloti_1021_xml__shipped         WT grows  0/33 | no gene-level scoring (WT grows nowhere)
Smeli   Sinorhizobium_meliloti_1021_xml_gapfilled__gapfi WT grows 21/33 | AUC-PR 0.477 (card 0.477) MCC 0.529 (card 0.529) | pairs 20097 exp-important 1481 pred-no-growth 576
Smeli   Sinorhizobium_meliloti_1021_xml_gapfilled__gapfi WT grows 21/33 | AUC-PR 0.474 (card 0.474) MCC 0.523 (card 0.523) | pairs 20559 exp-important 1712 pred-no-growth 1038
Smeli   Sinorhizobium_meliloti_1021_xml_gapfilled__gapfi WT grows 21/33 | AUC-PR 0.628 (card 0.628) MCC 0.654 (card 0.654) | pairs 20601 exp-important 1712 pred-no-growth 1143
Smeli   Sinorhizobium_meliloti_1021_xml_gapfilled__gapfi WT grows 21/33 | AUC-PR 0.579 (card 0.579) MCC 0.616 (card 0.616) | pairs 20601 exp-important 1712 pred-no-growth 1269
Smeli   Sinorhizobium_meliloti_1021_xml_gapfilled__gapfi WT grows 21/33 | AUC-PR 0.589 (card 0.589) MCC 0.628 (card 0.628) | pairs 20034 exp-important 1418 pred-no-growth 723
Smeli   Sinorhizobium_meliloti_1021_xml_gapfilled__gapfi WT grows 21/33 | AUC-PR 0.587 (card 0.587) MCC 0.622 (card 0.622) | pairs 20559 exp-important 1712 pred-no-growth 1248
Smeli   Sinorhizobium_meliloti_1021_xml_gapfilled__gapfi WT grows 21/33 | AUC-PR 0.657 (card 0.657) MCC 0.676 (card 0.676) | pairs 20664 exp-important 1712 pred-no-growth 1080
Smeli   Sinorhizobium_meliloti_1021_xml_gapfilled__gapfi WT grows 22/33 | AUC-PR 0.664 (card 0.664) MCC 0.680 (card 0.680) | pairs 21648 exp-important 1803 pred-no-growth 1114
Smeli   Sinorhizobium_meliloti_1021_xml_gapfilled__gapfi WT grows 21/33 | AUC-PR 0.481 (card 0.481) MCC 0.554 (card 0.554) | pairs 20097 exp-important 1481 pred-no-growth 618
problems: 0
