reaction	name	rule	n_conditions_essential	conditions	genes
PERD	Erythronate 4-phosphate (4per) dehydrogenase	NP_744266_1 or NP_744678_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP2117: erythronate-4-phosphate dehydrogenase || PP2533: D-isomer specific 2-hydroxyacid dehydrogenase family protein
RNDR1	Ribonucleoside-diphosphate reductase (ADP)	NP_747316_1 or (NP_743337_1 and NP_743339_1)	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1177: ribonucleoside-diphosphate reductase subunit beta || PP1179: ribonucleoside-diphosphate reductase subunit alpha || PP5215: thioredoxin I
GLYCTO1	GLYCTO1	NP_746604_1 or (NP_745876_1 and NP_745877_1 and NP_745878_1)	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP3745: glycolate oxidase FAD-linked subunit || PP3746: glycolate oxidase FAD-binding subunit || PP3747: glycolate oxidase iron-sulfur subunit || PP4493: putative oxidoreductase
SHK3Dr	Shikimate dehydrogenase	NP_742244_1 or NP_744554_1 or NP_744752_1 or NP_745146_1 or NP_745898_2	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0074: shikimate 5-dehydrogenase || PP2406: quinate/shikimate dehydrogenase || PP2608: shikimate dehydrogenase family protein || PP3002: shikimate dehydrogenase-like protein || PP3768: shikimate 5-dehydrogenase
DAPDC	Diaminopimelate decarboxylase	NP_744227_1 or NP_747328_1	27	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP2077: diaminopimelate decarboxylase || PP5227: diaminopimelate decarboxylase
ACOTA	Acetylornithine transaminase	NP_742539_1 or NP_746592_1	27	L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate;Vanillin	PP0372: acetylornithine aminotransferase || PP4481: succinylornithine transaminase/acetylornithine aminotransferase
FORCT	Formyl-CoA Transferase	NP_742328_1 or NP_745145_1	27	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0159: family III CoA-transferase || PP3001: CAIB/BAIF family protein
DHAD1	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	NP_746602_1 or NP_747229_1	27	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP4491: pterin-4-alpha-carbinolamine dehydratase || PP5128: dihydroxy-acid dehydratase
DHAD2	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	NP_746602_1 or NP_747229_1	27	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP4491: pterin-4-alpha-carbinolamine dehydratase || PP5128: dihydroxy-acid dehydratase
OCBT	Ornithine carbamoyltransferase	NP_743161_1 or NP_743240_1	27	L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate;Vanillin	PP1000: ornithine carbamoyltransferase || PP1079: ornithine carbamoyltransferase
AGPR	N-acetyl-g-glutamyl-phosphate reductase	NP_742598_1 or NP_745769_1	27	L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate;Vanillin	PP0432: N-acetyl-gamma-glutamyl-phosphate reductase || PP3633: ArgC-like N-acetyl-gamma-glutamyl-phosphate reductase
HCO3E	HCO3 equilibration reaction	NP_742271_1 or spontaneous	27	L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate;Vanillin	PP0101: sulfate transporter
GAPD	Glyceraldehyde-3-phosphate dehydrogenase	NP_743170_1 or NP_744298_1	26	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1009: glyceraldehyde-3-phosphate dehydrogenase || PP2149: glyceraldehyde-3-phosphate dehydrogenase
DPR	2-dehydropantoate 2-reductase	NP_743510_1 or NP_744474_1 or NP_745142_1	24	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1351: 2-dehydropantoate 2-reductase || PP2325: 2-dehydropantoate 2-reductase || PP2998: 2-dehydropantoate 2-reductase
