reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
GALURtex	D-galacturonate transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
FORtex	Formate transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
GALt2	D galactose transport in via proton symport	NP_809349_1 or NP_812500_1	2	BT0436 (arabinose-proton symporter) — no word in common with the reaction name while another alternative has		1
FE2tex	Iron (II) transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
ETOHtex	Ethanol transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
DHNPA2r	Dihydroneopterin aldolase reversible	NP_810571_1 or NP_811062_1	2	BT1658 (translaldolase) — no word in common with the reaction name while another alternative has		1
FEENTERtex	Enterochelin transport (secretion periplasm)	NP_808922_1 or NP_809867_1	2	BT0954 (hypothetical protein BT_0954) — non-enzyme/family/domain annotation		1
GUAtex	Guanine transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
GTPCI	GTP cyclohydrolase I	NP_810477_1 or NP_812842_1	2	BT1564 (7-cyano-7-deazaguanine reductase) — no word in common with the reaction name while another alternative has		1
GLYCtex	Glycerol transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
H2tex	Hydrogen transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
GLYCL	Glycine Cleavage System	NP_811432_1 or (NP_810060_1 and NP_811432_1 and NP_812098_1 and NP_813495_1)	2	BT3186 (dihydrolipoamide dehydrogenase) — no word in common with the reaction name while another alternative has		1
GLCP	Glycogen phosphorylase	NP_810206_1 or NP_813214_1	2	BT4303 (4-alpha-glucanotransferase) — no word in common with the reaction name while another alternative has		1
GLCS1	Glycogen synthase (ADPGlc)	NP_811848_1 or NP_813218_1	2	BT2936 (glycosyltransferase) — no word in common with the reaction name while another alternative has		1
DHORTS	Dihydroorotase	NP_809163_1 or NP_809470_1	2	BT0557 (carbamyl phosphate synthetase) — no word in common with the reaction name while another alternative has		1
CO2tex	CO2 transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
CLtex	Chloride (Cl-1) transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
CA2tex	Calcium (Ca+2) transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
COBALT2tex	Cobalt (Co+2) transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
DARBt3ipp	D-arabinose transport via proton antiport (periplasm)	NP_812025_1 or NP_812524_1	2	BT3613 (LacI family transcriptional regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
DDGLK	2-dehydro-3-deoxygluconokinase	NP_809401_1 or NP_811711_1	2	BT2799 (PfkB family carbohydrate kinase) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
CYTK1	Cytidylate kinase (CMP)	NP_810973_1 or NP_813219_1	2	BT4308 (pantoate--beta-alanine ligase) — no word in common with the reaction name while another alternative has		1
CU2tex	Copper (Cu+2) transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
ASPCT	Aspartate carbamoyltransferase	NP_809470_1 or NP_809655_1 or (NP_809654_1 and NP_809655_1)	3	BT0557 (carbamyl phosphate synthetase) — no word in common with the reaction name while another alternative has		1
ASO4tex	Arsenate transporter (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
ARABDI	L-fucose isomerase	NP_810186_1 or NP_812033_1	2	BT3121 (DNA mismatch repair protein MutS) — no word in common with the reaction name while another alternative has		1
BUTtex	Butyrate transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
CD2tex	Cadmium (Cd+2) transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
AICART	Phosphoribosylaminoimidazolecarboxamide formyltransferase	NP_809431_1 or NP_812723_1	2	BT0518 (5-aminoimidazole-4-carboxamide ribonucleotide transformylase) — no word in common with the reaction name while another alternative has		1
AGPAT181	1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)	NP_809156_1 or NP_813373_1	2	BT4462 (hypothetical protein BT_4462) — non-enzyme/family/domain annotation		1
AGPAT180	1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)	NP_809156_1 or NP_813373_1	2	BT4462 (hypothetical protein BT_4462) — non-enzyme/family/domain annotation		1
MG2uabcpp	Magnesium (Mg+2) ABC transporter (ubtake, periplasm)	NP_809901_1 or NP_813395_1	2	BT4484 (hypothetical protein BT_4484) — non-enzyme/family/domain annotation		1
MG2tex	Magnesium (Mg+2) transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
MEPCT	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	NP_810564_1 or NP_811793_1 or NP_812834_1	3	BT1651 (pyrophosphorylase) — no word in common with the reaction name while another alternative has		1
MEOHtex	Methanol transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
MAN1PT2	Mannose-1-phosphate guanylyltransferase (GDP)	NP_809389_1 or NP_809471_1 or NP_811693_1	3	BT0476 (D-mannose-1-phosphate guanyltransferase) — no word in common with the reaction name while another alternative has		1
MAN1PT	Mannose 1 phosphate guanylyltransferase	NP_809389_1 or NP_810546_1	2	BT0476 (D-mannose-1-phosphate guanyltransferase) — no word in common with the reaction name while another alternative has		1
LEUtex	L-leucine transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
Ktex	Potassium transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
ILEtex	L-isoleucine transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
Kt2pp	Potassium transport in via proton symport (periplasm)	NP_813009_1 or NP_813397_1	2	BT4486 (voltage-gated K+ channel protein) — no word in common with the reaction name while another alternative has		1
IMPC	IMP cyclohydrolase	NP_809431_1 or NP_812723_1	2	BT0518 (5-aminoimidazole-4-carboxamide ribonucleotide transformylase) — no word in common with the reaction name while another alternative has		1
INDOLEt2pp	Indole transport via proton symport, irreversible (periplasm)	NP_809217_1 or NP_811706_1 or (NP_809217_1 and NP_809218_1) or (NP_809217_1 and NP_809218_1 and NP_809867_1) or (NP_8092	5	BT0954 (hypothetical protein BT_0954) — non-enzyme/family/domain annotation		1
H2Otex	H2O transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_810424_1 or NP_811355_1 or NP_812041_1 or spontaneous	5	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
HSERTA	Homoserine O trans acetylase	NP_811300_1 or NP_811326_1	2	BT2387 (O-acetylhomoserine (thiol)-lyase) — no word in common with the reaction name while another alternative has		1
Htex	Proton transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
