org	model	gene	desc	conditions_now_essential	of_which_important	conditions_now_dispensable	of_which_important_	mean_fitness_growth_conditions
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled	BT0556	carbamoyl phosphate synthetase III (glutamine-hydrolyzing) (	14	0	0	0	0.06196904761904761
Keio	iML1515	b0033	carbamoyl-phosphate synthase large subunit (NCBI)	30	30	0	0	-3.927026041666667
Keio	iML1515	b0032	carbamoyl-phosphate synthase small subunit (NCBI)	30	30	0	0	-3.468817708333334
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled	PP_4724	Carbamoyl-phosphate synthase small chain	27	26	0	0	-4.696559523809524
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled	PP_4723	Carbamoyl-phosphate synthase large chain	27	27	0	0	-4.990303571428571
Putida	iJN1463__curated	PP_4723	Carbamoyl-phosphate synthase large chain	35	35	0	0	-4.8621990740740735
Putida	iJN1463__curated	PP_4724	Carbamoyl-phosphate synthase small chain	35	34	0	0	-4.641907407407408
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled	SMc01215	carbamoyl phosphate synthase large subunit	21	21	0	0	-4.893190476190476
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled	SMc01569	carbamoyl phosphate synthase small subunit	21	21	0	0	-4.738761904761904
