gene	model_gene	n_conditions_important	desc	gene_reactions	ko_growth	bypass
SMc03895	NP_387384_1	19	pyruvate carboxylase	PC	449.8323673081196	ALATA_D[uses pyr_c; v=0.0206; rev=True; gpr=yes] | EDA[uses pyr_c; v=9.8; rev=False; gpr=yes] | SHCHCS[uses pyr_c; v=2.06e-05; rev=False; gpr=none] | PYK[uses pyr_c; v=8.67; rev=False; gpr=yes] | ANS[uses pyr_c; v=0.0117; rev=False; gpr=none] | ALATA_L[uses pyr_c; v=1.88; rev=True; gpr=yes] | ADCL[uses pyr_c; v=0.000138; rev=False; gpr=yes] | ASPTA[makes oaa_c; v=-0.618; rev=True; gpr=yes] | CS[makes oaa_c; v=0.236; rev=False; gpr=yes]
SMc00711	NP_386767_1	21	cyclohexadienyl dehydrogenase	PPND	444.28547107285743	PPND:isozyme[NP_384359_1 or NP_386767_1 or NP_387347_]
SMc00993	NP_384964_1	21	phosphoribosylamine--glycine ligase	PRAGSr	444.28547107285743	PRAGSr:isozyme[NP_384964_1 or NP_385290_1]
SMc01004	NP_385525_1	21	phosphoribosyl-AMP cyclohydrolase	PRATPP;PRAMPC	444.28547107285743	PRATPP:isozyme[NP_384156_1 or NP_385525_1] | PRMICI[makes prfp_c; v=0.0195; rev=True; gpr=yes]
SMc00494	NP_385879_1	21	phosphoribosylformylglycinamidine synthase subunit PurS	PRFGS_1	444.28547107285743	GARFT[uses fgam_c; v=0.0923; rev=True; gpr=yes] | GLNS[uses gln__L_c; v=0.361; rev=False; gpr=yes] | PRAIS[makes fpram_c; v=0.0923; rev=False; gpr=yes]
SMc00493	NP_385880_1	21	phosphoribosylformylglycinamidine synthase I	PRFGS_1	444.28547107285743	GARFT[uses fgam_c; v=0.0923; rev=True; gpr=yes] | GLNS[uses gln__L_c; v=0.361; rev=False; gpr=yes] | PRAIS[makes fpram_c; v=0.0923; rev=False; gpr=yes]
SMc00640	NP_386837_1	21	phosphoserine aminotransferase	PSERT	445.09259111423194	
SMc01494	NP_386225_1	21	phosphoserine phosphatase	PSP_L	445.09259111415486	CYSTS_2[makes ser__L_c; v=0.059; rev=False; gpr=none] | TRPS1[makes ser__L_c; v=0.0115; rev=False; gpr=yes] | GHMT2r[makes ser__L_c; v=0.237; rev=True; gpr=yes] | Growth[makes ser__L_c; v=0.21; rev=False; gpr=none]
SMc04005	NP_386895_1	11	pyruvate kinase	PYK	444.28547107285743	PYK:isozyme[NP_385250_1 or NP_386895_1]
SMc00091	NP_385049_1	21	sulfate adenylyltransferase	SADT2;SADT	444.3708652560043	SADT2:isozyme[NP_385460_1 or (NP_385048_1 and NP_38504] | SO4t2[uses so4_c; v=0.0515; rev=False; gpr=yes] | APSR[makes aps_c; v=0.0507; rev=False; gpr=yes]
SMc00090	NP_385048_1	21	sulfate adenylyltransferase	SADT2	444.28547107285743	NDPK1[uses gtp_c; v=0.106; rev=True; gpr=yes] | SO4t2[uses so4_c; v=0.0517; rev=False; gpr=yes] | APSR[makes aps_c; v=0.0508; rev=False; gpr=yes] | RNDR2[makes gdp_c; v=0.00557; rev=False; gpr=yes] | NDPK1[makes gdp_c; v=0.106; rev=True; gpr=yes]
SMc01053	NP_385575_1	21	siroheme synthase	SHCHF;UPP3MT;SHCHD2	444.2854710728357	FE2tpp[uses fe2_c; v=0.00299; rev=False; gpr=yes] | METAT[uses amet_c; v=6.66e-05; rev=False; gpr=yes] | AHCi[makes ahcys_c; v=2.06e-05; rev=True; gpr=yes]
