reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
NTPP2	Nucleoside triphosphate pyrophosphorylase (gtp)	NP_385214_1 or NP_385573_1 or NP_386729_1	3	SMc02554 (hypothetical protein SMc02554) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMc02448 (mutator protein 7,8-dihydro-8-oxoguanine-triphosphatase) — no word in common with the reaction name while another alternative has		2
TRDR	Thioredoxin reductase (NADPH)	NP_384139_1 or NP_384466_1 or NP_385673_1 or NP_387340_1 or NP_436286_1 or (NP_384139_1 and NP_385673_1) or (NP_385673_1	7	SMc01159 (oxidoreductase) — no word in common with the reaction name while another alternative has | SMc03851 (thiol:disulfide interchange protein (cytochrome C biogenesis protein)) — no word in common with the reaction name while another alternative has		2
ACLS	Acetolactate synthase	NP_436439_1 or (NP_386219_1 and NP_386220_1)	2	SMc01430 (acetolactate synthase 3 regulatory subunit) — non-enzyme/family/domain annotation | SMa2211 (thiamine pyrophosphate protein (plasmid)) — no word in common with the reaction name while another alternative has		2
PGM	Phosphoglycerate mutase	NP_384268_1 or NP_435525_1 or NP_436663_1 or NP_436780_1	4	SMb20123 (transcriptional regulator (plasmid)) — non-enzyme/family/domain annotation | SMb20250 (hypothetical protein SM_b20250 (plasmid)) — non-enzyme/family/domain annotation		2
URIC	Uricase	NP_437706_1 or NP_437708_1	2	SMb20872 (transthyretin-like protein (plasmid)) — non-enzyme/family/domain annotation | SMb20874 (hypothetical protein SM_b20874 (plasmid)) — non-enzyme/family/domain annotation		2
ABTA	4-aminobutyrate transaminase	NP_384623_1 or NP_386695_1 or NP_435764_1 or NP_437392_1	4	SMc02413 (aminotransferase) — no word in common with the reaction name while another alternative has | SMa0956 (AtrB glutamate-1-semialdehyde 2,1-aminomutase (plasmid)) — no word in common with the reaction name while another alternative has		2
PDE4	3',5'-cyclic-nucleotide phosphodiesterase	NP_384574_1 or NP_387058_1 or NP_435864_1	3	SMc02179 (hypothetical protein SMc02179) — non-enzyme/family/domain annotation | SMc03141 (hypothetical protein SMc03141, partial) — non-enzyme/family/domain annotation		2
PAPSR2	Phosphoadenylyl-sulfate reductase (glutaredoxin)	NP_385887_1 or NP_435396_1	2	SMc00538 (hypothetical protein SMc00538) — non-enzyme/family/domain annotation | SMa0280 (hypothetical protein SMa0280 (plasmid)) — non-enzyme/family/domain annotation		2
PPA	Inorganic diphosphatase	NP_384861_1 or NP_385639_1 or NP_387193_1	3	SMc00810 (hypothetical protein SMc00810) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMc02063 (stationary phase survival protein SurE) — no word in common with the reaction name while another alternative has		2
CRNabcpp	L-carnitine transport via ABC system (periplasm)	(NP_386806_1 and NP_386807_1 and NP_386808_1) or (NP_436044_1 and NP_436045_1 and NP_436046_1) or (NP_436044_1 and NP_43	3	SMc00672 (histidine-binding periplasmic signal peptide protein) — no word in common with the reaction name while another alternative has | SMa1467 (inner-membrane permease (plasmid)) — no word in common with the reaction name while another alternative has		2
CYSS	Cysteine synthase	NP_384446_1 or NP_385354_1 or NP_385725_1	3	SMc00421 (O-acetylserine sulfhydrylase A) — no word in common with the reaction name while another alternative has | SMc01809 (O-acetylhomoserine aminocarboxypropyltransferase) — no word in common with the reaction name while another alternative has		2
NAt3pp	Sodium transport out via proton antiport (cytoplasm to periplasm)	NP_384635_1 or NP_385888_1 or NP_386734_1	3	SMc00537 (transporter) — no word in common with the reaction name while another alternative has | SMc00744 (transporter) — no word in common with the reaction name while another alternative has		2
MDDCP1pp	Murein D,D-carboxypeptidase (murein5px4p) (periplasm)	NP_384999_1 or NP_385517_2 or NP_385711_1 or NP_386795_1	4	SMc00068 (hypothetical protein SMc00068) — non-enzyme/family/domain annotation | SMc00996 (hypothetical protein SMc00996) — non-enzyme/family/domain annotation		2
MN6PP	Mannose 6-phosphate phosphatase	NP_386159_1 or NP_386335_1	2	SMc04299 (hypothetical protein SMc04299) — non-enzyme/family/domain annotation | SMc01617 (hypothetical protein SMc01617) — non-enzyme/family/domain annotation		2
MLDEP2pp	Murein L,D-endopeptidase (murein5px3p) (periplasm)	NP_384491_1 or NP_385026_2 or NP_385850_2 or NP_387361_1	4	SMc00539 (hypothetical protein SMc00539) — non-enzyme/family/domain annotation | SMc03872 (hypothetical protein SMc03872) — non-enzyme/family/domain annotation		2
MDDCP2pp	Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)	NP_384999_1 or NP_385517_2 or NP_385711_1 or NP_386795_1	4	SMc00068 (hypothetical protein SMc00068) — non-enzyme/family/domain annotation | SMc00996 (hypothetical protein SMc00996) — non-enzyme/family/domain annotation		2
MDDCP5pp	Murein D,D-carboxypeptidase (murein5p3p) (periplasm)	NP_384999_1 or NP_385517_2 or NP_385711_1 or NP_386795_1	4	SMc00068 (hypothetical protein SMc00068) — non-enzyme/family/domain annotation | SMc00996 (hypothetical protein SMc00996) — non-enzyme/family/domain annotation		2
Kt3r	Potassium transport out via proton antiport	NP_385099_1 or NP_385100_1 or NP_385101_1 or NP_385103_1 or NP_385104_1 or NP_387016_1	6		SMc00052 (monovalent cation/H+ antiporter subunit B) | SMc03179 (monovalent cation/H+ antiporter subunit A)	2
MDDCP4pp	Murein D,D-carboxypeptidase (murein5p4p) (periplasm)	NP_384999_1 or NP_385517_2 or NP_385711_1 or NP_386795_1	4	SMc00068 (hypothetical protein SMc00068) — non-enzyme/family/domain annotation | SMc00996 (hypothetical protein SMc00996) — non-enzyme/family/domain annotation		2
MDDCP3pp	Murein D,D-carboxypeptidase (murein5p5p) (periplasm)	NP_384999_1 or NP_385517_2 or NP_385711_1 or NP_386795_1	4	SMc00068 (hypothetical protein SMc00068) — non-enzyme/family/domain annotation | SMc00996 (hypothetical protein SMc00996) — non-enzyme/family/domain annotation		2
FMNRx	FMN reductase	NP_385929_1 or NP_436120_1 or NP_438025_1	3	SMc00183 (hypothetical protein SMc00183) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMa1604 (NADH:flavin oxidoreductase / NADH oxidase (plasmid)) — no word in common with the reaction name while another alternative has		2
MCITL2	Methylisocitrate lyase	NP_384544_1 or NP_386455_1	2	SMc01727 (hypothetical protein SMc01727) — non-enzyme/family/domain annotation | SMc02687 (hypothetical protein SMc02687) — non-enzyme/family/domain annotation		2
CBPS	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	NP_385682_1 or NP_386426_1 or (NP_385682_1 and NP_386426_1)	3		SMc01215 (carbamoyl phosphate synthase large subunit) | SMc01569 (carbamoyl phosphate synthase small subunit)	2
MPTG2	Murein polymerizing transglycosylase 2 (three linked units)	NP_387372_1 or NP_437341_1 or (NP_384503_1 and NP_437341_1)	3	SMc01123 (virulence factor MviN-like protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb21297 (bifunctional penicillin-binding protein (plasmid)) — no word in common with the reaction name while another alternative has		2
NAt3_1	Sodium proton antiporter  HNA is 11	NP_384635_1 or NP_385099_1 or NP_385100_1 or NP_385101_1 or NP_385102_1 or NP_385103_1 or NP_385104_1 or NP_387016_1 or 	9		SMc00052 (monovalent cation/H+ antiporter subunit B) | SMc03179 (monovalent cation/H+ antiporter subunit A)	2
DARBabcpp	D-arabinose transport via ABC system (periplasm)	(NP_437028_1 and NP_437029_1 and NP_437030_1) or (NP_437028_1 and NP_437030_1 and NP_437313_1)	2	SMb20506 (L-arabinose transporter permease (plasmid)) — no word in common with the reaction name while another alternative has | SMb20507 (L-arabinose transporter ATP-binding protein (plasmid)) — no word in common with the reaction name while another alternative has		2
NTPP4	Nucleoside triphosphate pyrophosphorylase (ctp)	NP_385214_1 or NP_385573_1 or NP_386729_1	3	SMc02554 (hypothetical protein SMc02554) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMc02448 (mutator protein 7,8-dihydro-8-oxoguanine-triphosphatase) — no word in common with the reaction name while another alternative has		2
NTPP3	Nucleoside triphosphate pyrophosphorylase (dctp)	NP_385214_1 or NP_385573_1 or NP_386729_1	3	SMc02554 (hypothetical protein SMc02554) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMc02448 (mutator protein 7,8-dihydro-8-oxoguanine-triphosphatase) — no word in common with the reaction name while another alternative has		2
FACOAL120t2pp	Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling)	NP_384590_1 or NP_385795_1 or NP_386737_1	3	SMc02162 (long-chain-fatty-acid--CoA ligase) — no word in common with the reaction name while another alternative has | SMc00261 (acyl-CoA synthetase) — no word in common with the reaction name while another alternative has		2
FACOAL100t2pp	Fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling)	NP_384590_1 or NP_385795_1 or NP_386737_1	3	SMc02162 (long-chain-fatty-acid--CoA ligase) — no word in common with the reaction name while another alternative has | SMc00261 (acyl-CoA synthetase) — no word in common with the reaction name while another alternative has		2
FACOAL60t2pp	Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling)	NP_384590_1 or NP_385795_1 or NP_386737_1	3	SMc02162 (long-chain-fatty-acid--CoA ligase) — no word in common with the reaction name while another alternative has | SMc00261 (acyl-CoA synthetase) — no word in common with the reaction name while another alternative has		2
FACOAL80t2pp	Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling)	NP_384590_1 or NP_385795_1 or NP_386737_1	3	SMc02162 (long-chain-fatty-acid--CoA ligase) — no word in common with the reaction name while another alternative has | SMc00261 (acyl-CoA synthetase) — no word in common with the reaction name while another alternative has		2
FACOAL160t2pp	Fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling)	NP_384590_1 or NP_385795_1 or NP_386737_1	3	SMc02162 (long-chain-fatty-acid--CoA ligase) — no word in common with the reaction name while another alternative has | SMc00261 (acyl-CoA synthetase) — no word in common with the reaction name while another alternative has		2
FACOAL140t2pp	Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling)	NP_384590_1 or NP_385795_1 or NP_386737_1	3	SMc02162 (long-chain-fatty-acid--CoA ligase) — no word in common with the reaction name while another alternative has | SMc00261 (acyl-CoA synthetase) — no word in common with the reaction name while another alternative has		2
DHAK	Dihydroxyacetone kinase	NP_436840_1 or NP_437134_1 or NP_437999_1	3	SMb20314 (glycerone kinase (plasmid)) — no word in common with the reaction name while another alternative has | SMb21021 (transcriptional regulator (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		2
IMPD	IMP dehydrogenase	NP_384866_1 or NP_435580_1 or NP_435834_1	3	SMa0636 (hypothetical protein SMa0636 (plasmid)) — non-enzyme/family/domain annotation | SMa1086 (hypothetical protein SMa1086 (plasmid)) — non-enzyme/family/domain annotation		2
GRXR	Glutaredoxin reductase	NP_385887_1 or NP_386724_1 or NP_435396_1	3	SMc00538 (hypothetical protein SMc00538) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMa0280 (hypothetical protein SMa0280 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		2
HSERTA	Homoserine O trans acetylase	NP_385354_1 or NP_387286_1 or NP_437810_2	3	SMc01809 (O-acetylhomoserine aminocarboxypropyltransferase) — no word in common with the reaction name while another alternative has | SMb21441 (inosine-5'-monophosphate dehydrogenase (plasmid)) — no word in common with the reaction name while another alternative has		2
HACD1i	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	NP_384522_1 or NP_436038_1 or NP_438091_1	3	SMc01104 (chemoreceptor methyl-accepting chemotaxis transmembrane protein) — no word in common with the reaction name while another alternative has | SMa1452 (hypothetical protein SMa1452 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		2
H2Otex	H2O transport via diffusion (extracellular to periplasm)	NP_386844_1 or NP_386882_1 or NP_435574_1 or spontaneous	4	SMc03992 (hypothetical protein SMc03992) — non-enzyme/family/domain annotation | SMa0626 (hypothetical protein SMa0626 (plasmid)) — non-enzyme/family/domain annotation		2
HEX1	Hexokinase (D-glucose:ATP)	NP_384265_1 or NP_436486_1 or NP_437266_1	3	SMa2303 (ROK family transcriptional regulator (plasmid)) — non-enzyme/family/domain annotation | SMb21222 (transcriptional regulator (plasmid)) — non-enzyme/family/domain annotation		2
HEX7	Hexokinase (D-fructose:ATP)	NP_384311_1 or NP_384588_1 or NP_387090_1 or NP_437828_1	4	SMc02880 (hypothetical protein SMc02880) — non-enzyme/family/domain annotation | SMc03109 (hypothetical protein SMc03109) — non-enzyme/family/domain annotation		2
IPPMIa	3-isopropylmalate dehydratase	NP_387312_1 or (NP_387284_1 and NP_387312_1)	2		SMc03795 (isopropylmalate isomerase small subunit) | SMc03823 (isopropylmalate isomerase large subunit)	2
IPPMIb	2-isopropylmalate hydratase	NP_387312_1 or (NP_387284_1 and NP_387312_1)	2		SMc03795 (isopropylmalate isomerase small subunit) | SMc03823 (isopropylmalate isomerase large subunit)	2
GLYOX	Hydroxyacylglutathione hydrolase	NP_386438_1 or NP_435818_1	2	SMc01587 (hypothetical protein SMc01587) — non-enzyme/family/domain annotation | SMa1057 (hypothetical protein SMa1057 (plasmid)) — non-enzyme/family/domain annotation		2
GPDDA5	Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol)	NP_385184_1 or NP_387070_1	2	SMc02646 (hypothetical protein SMc02646) — non-enzyme/family/domain annotation | SMc03129 (hypothetical protein SMc03129) — non-enzyme/family/domain annotation		2
GPDDA4	Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)	NP_385184_1 or NP_387070_1	2	SMc02646 (hypothetical protein SMc02646) — non-enzyme/family/domain annotation | SMc03129 (hypothetical protein SMc03129) — non-enzyme/family/domain annotation		2
GPDDA3	Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)	NP_385184_1 or NP_387070_1	2	SMc02646 (hypothetical protein SMc02646) — non-enzyme/family/domain annotation | SMc03129 (hypothetical protein SMc03129) — non-enzyme/family/domain annotation		2
RBPC	Ribulose-bisphosphate carboxylase	NP_436919_1 or (NP_436730_1 and NP_436731_1)	2		SMb20197 (ribulose-1,5-bisphosphate carboxylase small subunit protein (plasmid)) | SMb20393 (ribulose bisphosphate carboxylaseoxygenase, large subunit protein (plasmid))	2
RIBabc	D-ribose transport via ABC system	(NP_386649_1 and NP_386651_1 and NP_437960_2) or (NP_436945_1 and NP_437824_1 and NP_437825_1) or (NP_437567_1 and NP_43	3	SMc02031 (permease) — no word in common with the reaction name while another alternative has | SMc02033 (periplasmic binding protein) — no word in common with the reaction name while another alternative has		2
SSALx	Succinate-semialdehyde dehydrogenase (NAD)	NP_384120_1 or NP_386318_1 or NP_435373_1	3	SMc01588 (aldehyde dehydrogenase) — no word in common with the reaction name while another alternative has | SMa0237 (dehydrogenase (plasmid)) — no word in common with the reaction name while another alternative has		2
RBFSb	Riboflavin synthase	NP_385317_1 or NP_386327_1	2		SMc01773 (riboflavin synthase subunit alpha) | SMc01609 (riboflavin synthase subunit beta)	2
PROabcpp	L-proline transport via ABC system (periplasm)	(NP_386505_1 and NP_386506_1 and NP_386507_1) or (NP_386806_1 and NP_386807_1 and NP_386808_1) or (NP_436044_1 and NP_43	5	SMc00672 (histidine-binding periplasmic signal peptide protein) — no word in common with the reaction name while another alternative has | SMa1467 (inner-membrane permease (plasmid)) — no word in common with the reaction name while another alternative has		2
PPM	Phosphopentomutase	NP_384239_1 or NP_386953_1 or NP_437200_1	3	SMc03925 (phosphoglucomutase) — no word in common with the reaction name while another alternative has | SMb21081 (phosphoglucomutase phosphomannomutase (plasmid)) — no word in common with the reaction name while another alternative has		2
AMMQLT8	S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8)	NP_384470_1 or NP_386306_1 or NP_435395_1	3	SMc01842 (methyltransferase transcription regulator protein) — non-enzyme/family/domain annotation | SMa0279 (hypothetical protein SMa0279 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		2
AMANK	N-acetyl-D-mannosamine kinase	NP_384148_1 or NP_387171_1	2	SMc02752 (hypothetical protein SMc02752) — non-enzyme/family/domain annotation | SMc02470 (transcriptional regulator) — non-enzyme/family/domain annotation		2
ALAALAabcpp	D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm)	(NP_384837_1 and NP_384838_1 and NP_384839_1 and NP_384840_1 and NP_436381_1) or (NP_384837_1 and NP_384838_1 and NP_384	5	SMc00786 (periplasmic dipeptide-binding protein) — no word in common with the reaction name while another alternative has | SMc01525 (dipeptide binding periplasmic protein) — no word in common with the reaction name while another alternative has		2
ALCD2x	Alcohol dehydrogenase (ethanol)	NP_385076_1 or NP_385500_1 or NP_386317_1 or NP_435950_1 or NP_436710_1	5	SMc00105 (oxidoreductase transmembrane protein) — no word in common with the reaction name while another alternative has | SMb20170 (glutathione-dependent formaldehyde dehydrogenase (plasmid)) — no word in common with the reaction name while another alternative has		2
ADNCYC	Adenylate cyclase	NP_386107_1 or NP_386201_1 or NP_386557_1 or NP_386875_1 or NP_436884_1 or NP_438008_1 or (NP_384577_1 and NP_435813_1 a	7	SMc01491 (hypothetical protein SMc01491) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb20358 (regulatory protein (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		2
ADPRDP	ADPribose diphosphatase	NP_385214_1 or NP_385852_1 or NP_386729_1	3	SMc02554 (hypothetical protein SMc02554) — non-enzyme/family/domain annotation | SMc00521 (hypothetical protein SMc00521) — non-enzyme/family/domain annotation		2
ACOAD1f	Acyl-CoA dehydrogenase (butanoyl-CoA)	NP_384640_1 or NP_385411_1 or NP_437985_1	3	SMc01359 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
ACOAD2	Acyl-CoA dehydrogenase (hexanoyl-CoA)	NP_436012_2 or NP_436387_1	2	SMa2091 (hypothetical protein SMa2091 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
ACOAD20	Acyl CoA dehydrogenase  2 methylbutnoyl CoA	NP_436387_1 or NP_437985_1	2	SMa2091 (hypothetical protein SMa2091 (plasmid)) — non-enzyme/family/domain annotation		1
ACOAD2f	Acyl-CoA dehydrogenase (hexanoyl-CoA)	NP_384640_1 or NP_385411_1 or NP_437985_1	3	SMc01359 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
ACOAD3f	Acyl-CoA dehydrogenase (octanoyl-CoA)	NP_384640_1 or NP_385411_1 or NP_437985_1	3	SMc01359 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
ACOAD4f	Acyl-CoA dehydrogenase (decanoyl-CoA)	NP_384640_1 or NP_385411_1 or NP_437985_1	3	SMc01359 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
ACOAD5f	Acyl-CoA dehydrogenase (dodecanoyl-CoA)	NP_384640_1 or NP_385411_1 or NP_437985_1	3	SMc01359 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
ACOAD6f	Acyl-CoA dehydrogenase (tetradecanoyl-CoA)	NP_384640_1 or NP_385411_1 or NP_437985_1	3	SMc01359 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
ACOAD7f	Acyl-CoA dehydrogenase (hexadecanoyl-CoA)	NP_384640_1 or NP_385411_1 or NP_437985_1	3	SMc01359 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
ACOAD8f	Acyl-CoA dehydrogenase (octadecanoyl-CoA)	NP_384640_1 or NP_385411_1 or NP_437985_1	3	SMc01359 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
ACOADH2	Acyl CoA dehydrogenase  isobutyryl CoA	NP_436387_1 or NP_437985_1	2	SMa2091 (hypothetical protein SMa2091 (plasmid)) — non-enzyme/family/domain annotation		1
ACS2	Acetyl-CoA synthase (propionate)	NP_384825_1 or NP_387435_1 or NP_435543_1	3	SMa0567 (hypothetical protein SMa0567 (plasmid)) — non-enzyme/family/domain annotation		1
ADCL	4-aminobenzoate synthase	NP_385251_1 or NP_386903_1	2	SMc00575 (hypothetical protein SMc00575) — non-enzyme/family/domain annotation		1
AGM3PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase	NP_386294_1 or NP_386303_1	2	SMc01845 (transglycosylase transmembrane protein) — no word in common with the reaction name while another alternative has		1
AGM3PApp	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm)	NP_385435_2 or NP_386303_1	2	SMc01845 (transglycosylase transmembrane protein) — no word in common with the reaction name while another alternative has		1
AGM4PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase	NP_386294_1 or NP_386303_1	2	SMc01845 (transglycosylase transmembrane protein) — no word in common with the reaction name while another alternative has		1
AGM4PApp	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm)	NP_385435_2 or NP_386303_1	2	SMc01845 (transglycosylase transmembrane protein) — no word in common with the reaction name while another alternative has		1
ALCD19	Alcohol dehydrogenase (glycerol)	NP_385500_1 or NP_386317_1 or NP_436710_1	3	SMb20170 (glutathione-dependent formaldehyde dehydrogenase (plasmid)) — no word in common with the reaction name while another alternative has		1
ALCD2ir	Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol	NP_385076_1 or NP_386317_1 or NP_435950_1	3	SMc00105 (oxidoreductase transmembrane protein) — no word in common with the reaction name while another alternative has		1
ALDD1	Aldehyde dehydrogenase  formaldehyde  NAD	NP_386798_1 or NP_436440_1	2	SMc00680 (zinc-type alcohol dehydrogenase) — no word in common with the reaction name while another alternative has		1
AM3PA	Anhydrous-N-Acetylmuramyl-tripeptide amidase	NP_386294_1 or NP_386303_1	2	SMc01845 (transglycosylase transmembrane protein) — no word in common with the reaction name while another alternative has		1
AM4PA	Anhydrous-N-Acetylmuramyl-tetrapeptide amidase	NP_386294_1 or NP_386303_1	2	SMc01845 (transglycosylase transmembrane protein) — no word in common with the reaction name while another alternative has		1
AMMQT8_2	S-adenosylmethione:2-demethylmenaquinone methyltransferase	NP_384470_1 or NP_437028_1	2	SMb20506 (L-arabinose transporter permease (plasmid)) — no word in common with the reaction name while another alternative has		1
ARBabc	L-arabinose transport via ABC system	NP_436851_1 or (NP_436541_1 and NP_436542_1 and NP_436764_1) or (NP_437028_1 and NP_437029_1 and NP_437030_1)	3	SMb20325 (trehalosemaltose-binding protein (plasmid)) — no word in common with the reaction name while another alternative has		1
PPK2r	Polyphosphate kinase	NP_385293_1 or NP_435600_1	2	SMa0670 (regulatory protein (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
PPPGO	Protoporphyrinogen oxidase (aerobic)	NP_386716_1 or NP_387446_1	2	SMc02795 (hypothetical protein SMc02795) — non-enzyme/family/domain annotation		1
PRAMPC	Phosphoribosyl-AMP cyclohydrolase	NP_384156_1 or NP_385525_1	2	SMc02568 (phosphoribosyl-ATP pyrophosphatase) — no word in common with the reaction name while another alternative has		1
PRATPP	Phosphoribosyl-ATP pyrophosphatase	NP_384156_1 or NP_385525_1	2	SMc01004 (phosphoribosyl-AMP cyclohydrolase) — no word in common with the reaction name while another alternative has		1
PROGLYabcpp	L-Prolinylglycine (Pro-Gly) transport via ABC system (periplasm)	(NP_384837_1 and NP_384838_1 and NP_384839_1 and NP_384840_1 and NP_436381_1) or (NP_384837_1 and NP_384838_1 and NP_384	2	SMc00786 (periplasmic dipeptide-binding protein) — no word in common with the reaction name while another alternative has		1
PTRCabc	Putrescine transport via ABC system	(NP_384175_1 and NP_386350_1 and NP_436811_1 and NP_436813_1) or (NP_384820_1 and NP_384821_1 and NP_384822_1 and NP_384	3	SMc00770 (putrescine-binding periplasmic protein) — no word in common with the reaction name while another alternative has		1
PTRCabcpp	Putrescine transport via ABC system (periplasm)	NP_436906_1 or (NP_384175_1 and NP_386350_1 and NP_436811_1 and NP_436813_1) or (NP_384175_1 and NP_436438_1 and NP_4368	6	SMc00770 (putrescine-binding periplasmic protein) — no word in common with the reaction name while another alternative has		1
PYK	Pyruvate kinase	NP_385250_1 or NP_386895_1	2	SMc00574 (3-oxoacyl-ACP synthase) — no word in common with the reaction name while another alternative has		1
RAFFtex	Raffinose transport transport via diffusion extracellular to periplasm	NP_387090_1 or NP_437471_1	2	SMc03109 (hypothetical protein SMc03109) — non-enzyme/family/domain annotation		1
RBFK	Riboflavin kinase	NP_384902_1 or NP_386545_1	2	SMc01502 (hydrolase phosphatase) — no word in common with the reaction name while another alternative has		1
RBK	Ribokinase	NP_384523_1 or NP_385906_1	2	SMc00473 (carbohydrate kinase) — no word in common with the reaction name while another alternative has		1
SADT2	Sulfate adenyltransferase	NP_385460_1 or (NP_385048_1 and NP_385049_1) or (NP_385048_1 and NP_435714_1)	3	SMc01311 (elongation factor Tu) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
SALCNtex	Salicin transport transport via diffusion extracellular to periplasm	NP_387090_1 or NP_437471_1	2	SMc03109 (hypothetical protein SMc03109) — non-enzyme/family/domain annotation		1
SDPTA	Succinyldiaminopimelate transaminase	NP_384623_1 or NP_386078_1	2	SMc04326 (aminotransferase) — no word in common with the reaction name while another alternative has		1
SERAT	Serine O-acetyltransferase	NP_385589_1 or NP_435931_1	2	SMa1255 (hypothetical protein SMa1255 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
SERD_L	L-serine deaminase	NP_385514_1 or NP_436276_1	2	SMa1872 (threonine dehydratase (plasmid)) — no word in common with the reaction name while another alternative has		1
SFGTHi	S-Formylglutathione hydralase	NP_385497_1 or NP_436711_2	2	SMb20171 (carboxylesterase (plasmid)) — no word in common with the reaction name while another alternative has		1
SHSL1	O-succinylhomoserine lyase (L-cysteine)	NP_384182_1 or NP_385354_1 or NP_386616_1	3	SMc01976 (hypothetical protein SMc01976) — non-enzyme/family/domain annotation		1
SHSL2r	O-succinylhomoserine lyase (H2S)	NP_385354_1 or NP_386616_1	2	SMc01976 (hypothetical protein SMc01976) — non-enzyme/family/domain annotation		1
SO4t2	Sulfate transport in via proton symport	NP_385903_1 or NP_436610_1 or NP_436790_1	3	SMb20260 (hypothetical protein SM_b20260 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
TAURabc	Taurine transport via ABC system	(NP_386562_2 and NP_386678_1 and NP_386679_1) or (NP_437505_1 and NP_437506_1 and NP_437507_1)	2	SMc02344 (periplasmic binding protein) — no word in common with the reaction name while another alternative has		1
TAURabcpp	Taurine transport via ABC system (periplasm)	(NP_386678_1 and NP_436723_1 and NP_438023_1) or (NP_386679_1 and NP_437505_1 and NP_437506_1) or (NP_437505_1 and NP_43	3	SMc02344 (periplasmic binding protein) — no word in common with the reaction name while another alternative has		1
THIORDXi	Hydrogen peroxide reductase (thioredoxin)	(NP_384139_1 and NP_385847_1) or (NP_385847_1 and NP_387290_1)	2	SMc00524 (bacterioferritin comigratory protein) — no word in common with the reaction name while another alternative has		1
THZPSN	Thiazole phosphate synthesis	NP_437711_1 or NP_438069_1	2	SMb20877 (oxidoreductase (plasmid)) — no word in common with the reaction name while another alternative has		1
FMNRx2	FMN reductase	NP_385929_1 or NP_438025_1	2	SMc00183 (hypothetical protein SMc00183) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
FOMETRi	Aminomethyltransferase	NP_386380_1 or NP_386864_1	2	SMc03974 (hypothetical protein SMc03974) — non-enzyme/family/domain annotation		1
FRUpts	D-fructose transport via PEP:Pyr PTS	NP_384485_1 or (NP_384146_1 and NP_384485_1 and NP_386718_1)	2	SMc01141 (nitrogen regulatory IIA protein) — non-enzyme/family/domain annotation		1
