reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
CHOLD	Choline dehydrogenase	NP_385053_1 or NP_435386_1	2	SMa0263 (alcohol dehydrogenase (plasmid)) — no word in common with the reaction name while another alternative has		1
CHOLSabc	Choline sulfate ABC transporter	(NP_436044_1 and NP_436045_1 and NP_436046_1) or (NP_436044_1 and NP_436046_1 and NP_436047_1)	2	SMa1467 (inner-membrane permease (plasmid)) — no word in common with the reaction name while another alternative has		1
CLBtex	Cellobiose transport transport via diffusion extracellular to periplasm	NP_387090_1 or NP_437471_1	2	SMc03109 (hypothetical protein SMc03109) — non-enzyme/family/domain annotation		1
CLPNS120pp	Cardiolipin synthase (periplasmic, n-C12:0)	NP_385360_1 or NP_385626_1	2	SMc04448 (hypothetical protein SMc04448) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
CLPNS140pp	Cardiolipin synthase (periplasmic, n-C14:0)	NP_385360_1 or NP_385626_1	2	SMc04448 (hypothetical protein SMc04448) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
CLPNS141pp	Cardiolipin synthase (periplasmic, n-C14:1)	NP_385360_1 or NP_385626_1	2	SMc04448 (hypothetical protein SMc04448) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
CLPNS160pp	Cardiolipin synthase (periplasmic, n-C16:0)	NP_385360_1 or NP_385626_1	2	SMc04448 (hypothetical protein SMc04448) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
CLPNS161pp	Cardiolipin synthase (periplasmic, n-C16:1)	NP_385360_1 or NP_385626_1	2	SMc04448 (hypothetical protein SMc04448) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
CLPNS180pp	Cardiolipin synthase (periplasmic, n-C18:0)	NP_385360_1 or NP_385626_1	2	SMc04448 (hypothetical protein SMc04448) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
CLPNS181pp	Cardiolipin synthase (periplasmic, n-C18:1)	NP_385360_1 or NP_385626_1	2	SMc04448 (hypothetical protein SMc04448) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
COBALT2t3pp	Cobalt (Co+2) transport out via proton antiport (periplasm)	NP_386102_1 or NP_386492_1	2	SMc02724 (hypothetical protein SMc02724) — non-enzyme/family/domain annotation		1
COBALT2tpp	Cobalt transport in via permease (no H+)	NP_384425_1 or NP_436554_1	2	SMb20011 (hypothetical protein SM_b20011 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
CYSTL	Cystathionine b-lyase	NP_385354_1 or NP_385585_1	2	SMc01809 (O-acetylhomoserine aminocarboxypropyltransferase) — no word in common with the reaction name while another alternative has		1
DADK	Deoxyadenylate kinase	NP_385483_2 or NP_386468_1	2	SMc02700 (hypothetical protein SMc02700) — non-enzyme/family/domain annotation		1
DARBtex	D-arabinose transport via diffusion (extracellular to periplasm)	NP_387090_1 or NP_437471_1	2	SMc03109 (hypothetical protein SMc03109) — non-enzyme/family/domain annotation		1
