reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
PPGPPDP	Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	NP_744598_1 or NP_747403_1	2	PP2450 (hypothetical protein PP_2450) — non-enzyme/family/domain annotation		1
PPK2r	Polyphosphate kinase	NP_743908_1 or NP_747318_1	2	PP1752 (hypothetical protein PP_1752) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
PROD2	Proline dehydrogenase	NP_743416_1 or NP_747050_1	2	PP1256 (alpha-ketoglutarate semialdehyde dehydrogenase) — no word in common with the reaction name while another alternative has		1
PRPPS	Phosphoribosylpyrophosphate synthetase	NP_742883_1 or NP_744888_1	2	PP2744 (ribose-phosphate pyrophosphokinase family protein) — non-enzyme/family/domain annotation		1
PTRCabcpp	Putrescine transport via ABC system (periplasm)	NP_745947_1 or (NP_742577_1 and NP_742578_1 and NP_742579_1 and NP_742580_1) or (NP_743640_1 and NP_743641_1 and NP_7436	5	PP5182 (polyamine:pyruvate transaminase) — no word in common with the reaction name while another alternative has		1
PYK	Pyruvate kinase	NP_743521_1 or NP_745446_3 or NP_746417_1	3	PP3303 (3-oxoacyl-ACP synthase) — no word in common with the reaction name while another alternative has		1
RBFK	Riboflavin kinase	NP_742764_1 or NP_744202_1	2	PP2052 (bifunctional sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase) — no word in common with the reaction name while another alternative has		1
RBFSa	Riboflavin synthase	NP_742680_1 or NP_745060_1	2	PP0517 (6,7-dimethyl-8-ribityllumazine synthase) — no word in common with the reaction name while another alternative has		1
RNDR1	Ribonucleoside-diphosphate reductase (ADP)	NP_747316_1 or (NP_743337_1 and NP_743339_1)	2	PP5215 (thioredoxin I) — no word in common with the reaction name while another alternative has		1
RNDR2	Ribonucleoside-diphosphate reductase (GDP)	NP_747316_1 or (NP_743337_1 and NP_743339_1)	2	PP5215 (thioredoxin I) — no word in common with the reaction name while another alternative has		1
RNDR3	Ribonucleoside-diphosphate reductase (CDP)	NP_747316_1 or (NP_743337_1 and NP_743339_1)	2	PP5215 (thioredoxin I) — no word in common with the reaction name while another alternative has		1
RNDR4	Ribonucleoside-diphosphate reductase (UDP)	NP_747316_1 or (NP_743337_1 and NP_743339_1)	2	PP5215 (thioredoxin I) — no word in common with the reaction name while another alternative has		1
S7PI	Sedoheptulose 7-phosphate isomerase	NP_743483_1 or NP_747451_1	2	PP5350 (RpiR family transcriptional regulator) — non-enzyme/family/domain annotation		1
SALCHS4abcpp	Salmochelin S4 transport via ABC system periplasm	NP_742336_1 or NP_742965_1	2	PP0167 (toxin secretion ATP-binding protein) — no word in common with the reaction name while another alternative has		1
SDPDS	Succinyl-diaminopimelate desuccinylase	NP_742372_1 or NP_743682_1	2	PP0203 (dipeptidase) — no word in common with the reaction name while another alternative has		1
SERD_L	L-serine deaminase	NP_742464_1 or NP_743148_1 or NP_745074_1 or NP_745288_1 or NP_746543_1	5	PP4430 (threonine dehydratase) — no word in common with the reaction name while another alternative has		1
SGSAD	Succinylglutamic semialdehyde dehydrogenase	NP_743416_1 or NP_746589_1	2	PP4478 (N-succinylglutamate 5-semialdehyde dehydrogenase) — no word in common with the reaction name while another alternative has		1
SO4t2	Sulfate transport in via proton symport	NP_745123_1 or YP_009237129_1	2	PP2979 (hypothetical protein PP_2979) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	NP_745786_1 or NP_746143_1	2	PP4013 (MutT/nudix family protein) — non-enzyme/family/domain annotation		1
