reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
ILEabcpp	L-isoleucine transport via ABC system (periplasm)	(NP_743457_1 and NP_743458_1 and NP_743459_1 and NP_743460_1) or (NP_743298_1 and NP_743299_1 and NP_743300_1 and NP_743	3	PP4867 (BraC-like branched-chain amino acid ABC transporter substrate-binding protein) — non-enzyme/family/domain annotation		1
IZPN	Imidazolonepropionase	NP_745338_1 or NP_747131_1	2	PP3194 (hypothetical protein PP_3194) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
KAT3	3-ketoacyl-CoA thiolase	NP_742745_1 or NP_744286_1	2	PP0582 (thiolase family protein) — non-enzyme/family/domain annotation		1
KAT4	3-ketoacyl-CoA thiolase	NP_742745_1 or NP_744286_1	2	PP0582 (thiolase family protein) — non-enzyme/family/domain annotation		1
KAT5	3-ketoacyl-CoA thiolase	NP_742745_1 or NP_744286_1	2	PP0582 (thiolase family protein) — non-enzyme/family/domain annotation		1
KAT6	3-ketoacyl-CoA thiolase	NP_742745_1 or NP_744286_1	2	PP0582 (thiolase family protein) — non-enzyme/family/domain annotation		1
KAT7	3-ketoacyl-CoA thiolase	NP_742745_1 or NP_744286_1	2	PP0582 (thiolase family protein) — non-enzyme/family/domain annotation		1
Kt2r	Potassium reversible transport  via proton symport	NP_744078_1 or NP_746617_1 or NP_747456_1	3	PP1925 (monooxygenase) — no word in common with the reaction name while another alternative has		1
Kt3pp	Potassium transport out via proton antiport (periplasm)	NP_743513_1 or NP_745454_1 or NP_747347_1 or NP_747456_1	4	PP1354 (multidrug MFS transporter) — no word in common with the reaction name while another alternative has		1
LALDO	D-Lactaldehyde NAD+ oxidoreductase (glutathione-formylating)	NP_743773_1 or NP_746100_1	2	PP1616 (glutathione-dependent formaldehyde dehydrogenase) — no word in common with the reaction name while another alternative has		1
LEUabcpp	L-leucine transport via ABC system (periplasm)	(NP_743457_1 and NP_743458_1 and NP_743459_1 and NP_743460_1) or (NP_743298_1 and NP_743299_1 and NP_743300_1 and NP_743	3	PP4867 (BraC-like branched-chain amino acid ABC transporter substrate-binding protein) — non-enzyme/family/domain annotation		1
L_LACt2rpp	L-lactate reversible transport via proton symport (periplasm)	NP_743343_1 or NP_746843_1	2	PP1183 (siderophore biosynthesis protein) — no word in common with the reaction name while another alternative has		1
LSERDHr	L-serine dehydrogenase	NP_743434_1 or NP_746967_1	2	PP1274 (short-chain dehydrogenase/reductase family oxidoreductase) — non-enzyme/family/domain annotation		1
LYSabcpp	L-lysine transport via ABC system (periplasm)	(NP_746538_1 and NP_747125_1) or (NP_742447_1 and NP_742448_1 and NP_742449_1 and NP_742450_1) or (NP_745729_1 and NP_74	4	PP3596 (D-lysine oxidase) — no word in common with the reaction name while another alternative has		1
LYSt3pp	L-lysine transport out via proton antiport (cytoplasm to periplasm)	NP_743077_1 or NP_744320_1	2	PP2171 (LysE family transporter) — non-enzyme/family/domain annotation		1
MAN1PT2	Mannose-1-phosphate guanylyltransferase (GDP)	NP_742572_1 or NP_743437_1	2	PP0406 (nucleotidyltransferase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
MDDEP1pp	Murein D,D-endopeptidase (murein4px4p) (periplasm)	NP_744248_1 or NP_745924_1	2	PP2098 (D-alanyl-D-alanine carboxypeptidase) — no word in common with the reaction name while another alternative has		1
MDDEP3pp	Murein D,D-endopeptidase (murein5px4p) (periplasm)	NP_744248_1 or NP_745924_1	2	PP2098 (D-alanyl-D-alanine carboxypeptidase) — no word in common with the reaction name while another alternative has		1
MDDEP4pp	Murein D,D-endopeptidase (murein4px4px4p) (periplasm)	NP_744248_1 or NP_745924_1	2	PP2098 (D-alanyl-D-alanine carboxypeptidase) — no word in common with the reaction name while another alternative has		1
DAGK160	Diacylglycerol kinase (n-C16:0)	NP_743793_1 or NP_744274_3	2	PP2125 (lipid kinase) — no word in common with the reaction name while another alternative has		1
DAGK161	Diacylglycerol kinase (n-C16:1)	NP_743793_1 or NP_744274_3	2	PP2125 (lipid kinase) — no word in common with the reaction name while another alternative has		1
DAGK180	Diacylglycerol kinase (n-C18:0)	NP_743793_1 or NP_744274_3	2	PP2125 (lipid kinase) — no word in common with the reaction name while another alternative has		1
DAGK181	Diacylglycerol kinase (n-C18:1)	NP_743793_1 or NP_744274_3	2	PP2125 (lipid kinase) — no word in common with the reaction name while another alternative has		1
DALAt2r	D-alanine transport via proton symport	NP_742661_1 or NP_746945_1	2	PP0496 (sodium/alanine symporter) — no word in common with the reaction name while another alternative has		1
DARBt3ipp	D-arabinose transport via proton antiport (periplasm)	NP_742953_1 or NP_744576_1	2	PP0792 (catabolite DNA-binding transcriptional regulator) — non-enzyme/family/domain annotation		1
DHAD1	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	NP_746602_1 or NP_747229_1	2	PP4491 (pterin-4-alpha-carbinolamine dehydratase) — no word in common with the reaction name while another alternative has		1
DHAD2	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	NP_746602_1 or NP_747229_1	2	PP4491 (pterin-4-alpha-carbinolamine dehydratase) — no word in common with the reaction name while another alternative has		1
