org	model	gene	desc	conditions_now_essential	of_which_important	conditions_now_dispensable	of_which_important_	mean_fitness_growth_conditions
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3+medium__nodroprich	PP_3646	Aldehyde dehydrogenase family protein	0	0	28	0	-0.03707142857142858
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3+medium__nodroprich	PP_4782	Phosphomethylpyrimidine kinase	28	11	0	0	-1.5031517857142853
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3+medium__nodroprich	SM_b20962	phoshomethylpyrimidine kinase	0	0	21	0	-0.023666666666666662
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3+medium__nodroprich	SM_b20615	thiamine biosynthesis protein ThiC	0	0	21	0	-0.09028571428571429
