gene	model_gene	n_conditions_important	desc	gene_reactions	ko_growth	bypass
SO2045	NP_717648_1	5	cation efflux family protein (NCBI ptt file)	NI2t3pp;ZN2t3pp;CD2t3pp;COBALT2t3pp;MN2t3pp	0.09670002118994972	Growth[uses zn2_c; v=0.0967; rev=False; gpr=none] | Growth[uses cobalt2_c; v=0.0967; rev=False; gpr=none] | COBALT2tex[makes cobalt2_p; v=9.36e-06; rev=True; gpr=yes] | Growth[uses mn2_c; v=0.0967; rev=False; gpr=none]
SO1362	NP_716982_1	7	chorismate mutase/prephenate dehydrogenase (NCBI ptt file)	PPND;CHORM	0.09670002118994972	PPNDH[uses pphn_c; v=0.0303; rev=False; gpr=yes] | CHORM:isozyme[NP_716982_1 or NP_716987_1]
SO1926	NP_717533_1	6	citrate synthase (NCBI ptt file)	CS	0.0853814956218646	ASPTA6[uses oaa_c; v=0.342; rev=True; gpr=yes] | CITt15[makes cit_c; v=2.82e-05; rev=False; gpr=none]
SO0609	NP_716242_1	4	ubiquinol-cytochrome c reductase, cytochrome b (NCBI ptt file)	CYO1_KT	0.09670002118994972	CYTBD[uses q8h2_c; v=3.86; rev=False; gpr=yes] | CYTBD[makes q8_c; v=3.86; rev=False; gpr=yes]
SO2361	NP_717951_1	4	cytochrome c oxidase, cbb3-type, subunit III (NCBI ptt file)	CYO1b	0.09670002118994972	
SO2364	NP_717954_1	4	cytochrome c oxidase, cbb3-type, subunit I (NCBI ptt file)	CYO1b	0.09670002118994972	
SO2363	NP_717953_1	4	cytochrome c oxidase, cbb3-type, subunit II (NCBI ptt file)	CYO1b	0.09670002118994972	
SO2191	NP_717789_1	7	cystathionine beta-lyase (NCBI ptt file)	CYSTL;CYSDS	0.09670002118994972	AHCi[makes hcys__L_c; v=9.36e-06; rev=True; gpr=none] | AHSERL2[makes hcys__L_c; v=0.0144; rev=False; gpr=yes] | LDH_L[makes pyr_c; v=10; rev=True; gpr=none] | SHCHCS3[makes pyr_c; v=9.36e-06; rev=False; gpr=yes] | ANS[makes pyr_c; v=0.00532; rev=False; gpr=yes] | ADCL[makes pyr_c; v=6.26e-05; rev=False; gpr=yes] | ASPTA6[makes pyr_c; v=0.281; rev=True; gpr=yes] | Growth[uses cys__L_c; v=0.0967; rev=False; gpr=none] | THZPSN[uses cys__L_c; v=2.09e-05; rev=False; gpr=yes] | PPNCL[uses cys__L_c; v=5.39e-05; rev=False; gpr=yes] | SULRi[makes h2s_c; v=0.0231; rev=False; gpr=yes]
SO2903	NP_718475_1	7	cysteine synthase A (NCBI ptt file)	CYSS	0.09670002118994972	CYSS:isozyme[NP_718475_1 or NP_719141_2]
SO1292	NP_716914_1	7	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (NCBI ptt file)	DHNPA_1;HPPK2;HPPK	0.09670002118994718	DHNPA2r[uses dhnpt_c; v=6.26e-05; rev=True; gpr=none] | AHMMPS_1[makes gcald_c; v=2.09e-05; rev=False; gpr=none] | DHNPA2r[makes gcald_c; v=6.26e-05; rev=True; gpr=none] | HPPK2:isozyme[NP_716502_1 or NP_716914_1]
SO3695	NP_719235_1	6	dihydroorotase, homodimeric type (NCBI ptt file)	DHORTS	0.09670002118994972	DHORTS:isozyme[NP_716921_1 or NP_718704_2 or NP_719235_]
SO2359	NP_717949_1	4	cation transport ATPase, E1-E2 family (NCBI ptt file)	DNMPPA;DNTPPA	0.09670002118994972	AKP1[makes dhnpt_c; v=6.26e-05; rev=False; gpr=yes] | AKP1[uses ahdt_c; v=6.26e-05; rev=False; gpr=yes]
SO1331	NP_716951_1	7	MutT/nudix family protein (NCBI ptt file)	DNMPPA;DNTPPA	0.09670002118994972	AKP1[makes dhnpt_c; v=6.26e-05; rev=False; gpr=yes] | AKP1[uses ahdt_c; v=6.26e-05; rev=False; gpr=yes]
SO3817	NP_719353_1	5	2-dehydropantoate 2-reductase (NCBI ptt file)	DPR	0.09670002118994972	DPR:isozyme[NP_719353_1 or NP_719873_1]
SO0931	NP_716560_1	5	D-erythrose-4-phosphate dehydrogenase (NCBI ptt file)	E4PD	0.09670002118994972	E4PD:isozyme[NP_716174_1 or NP_716560_1]
SO3737	NP_719276_1	7	sulfite reductase (NADPH) hemoprotein beta-component (cysI) (NCBI ptt file)	SULR_1;SULRi;SULR;FADRx2;FMNRx2;FLVR;NMNR	0.09670002118994885	AHSERL2[uses h2s_c; v=0.0144; rev=False; gpr=yes] | CYSS[uses h2s_c; v=0.00865; rev=False; gpr=yes] | PAPSR[makes so3_c; v=0.0231; rev=False; gpr=yes] | SULR:isozyme[NP_717233_1 or (NP_719276_1 and NP_71927] | Growth[uses fad_c; v=0.0967; rev=False; gpr=none] | FMNAT[uses fmn_c; v=2.09e-05; rev=False; gpr=yes] | RBFK[uses ribflv_c; v=2.09e-05; rev=False; gpr=yes] | Growth[uses ribflv_c; v=0.0967; rev=False; gpr=none] | EX_pi_e[makes pi_e; v=-0.0923; rev=True; gpr=none]
SO3738	NP_719277_1	7	sulfite reductase (NADPH) flavoprotein alpha-component (NCBI ptt file)	SULRi;SULR;FADRx2;FMNRx2;FLVR	0.09670002118994885	SULR:isozyme[NP_717233_1 or (NP_719276_1 and NP_71927] | Growth[uses fad_c; v=0.0967; rev=False; gpr=none] | FMNAT[uses fmn_c; v=2.09e-05; rev=False; gpr=yes] | RBFK[uses ribflv_c; v=2.09e-05; rev=False; gpr=yes] | Growth[uses ribflv_c; v=0.0967; rev=False; gpr=none]
SO1122	NP_716747_1	7	gamma-glutamyl phosphate reductase (NCBI ptt file)	G5SD	0.09623424048604917	NACODA[makes glu5sa_c; v=0.0482; rev=False; gpr=none]
SO2761	NP_718343_1	4	phosphoribosylglycinamide formyltransferase (NCBI ptt file)	GARFT	0.09670002118994972	GARFT:isozyme[NP_718343_1 or NP_718733_1 or NP_718819_]
SO3455	NP_719004_1	8	GTP pyrophosphokinase (NCBI ptt file)	GTPDPK;GDPDPK	0.09670002118994972	GTPCII[uses gtp_c; v=4.18e-05; rev=False; gpr=yes] | GTPCI[uses gtp_c; v=6.26e-05; rev=False; gpr=yes] | ADSS[uses gtp_c; v=0.028; rev=False; gpr=yes] | Growth[uses gtp_c; v=0.0967; rev=False; gpr=none] | RNTR2c2[uses gtp_c; v=0.00253; rev=False; gpr=yes] | NDPK1[uses gdp_c; v=0.0508; rev=True; gpr=yes]
SO4410	NP_719933_1	7	glutamine synthetase, type I (NCBI ptt file)	GLNS	0.09670002118994972	GLNS:isozyme[NP_716891_1 or NP_719933_1]
SO1121	NP_716746_1	7	glutamate 5-kinase (NCBI ptt file)	GLU5K	0.0962342404860519	
