org	condition	media	bigg_ids	exchange_added	gapfill_status	growth_after	n_added	added_reactions	added_transport	n_condition_specific_genes	condition_specific_genes	seconds
MR1	Sodium propionate	ShewMM_noCarbon	ppa		Optimal	0.702	1	ATPS4rpp	ATPS4rpp	100	SO2648(-6.25);SO0344(-6.16);SO0346(-5.84);SO0345(-5.51);SO3173(-5.33);SO1622(-5.32);SO3189(-5.3);SO3191(-5.28);SO0617(-5.23);SO3171(-5.11);SO1938(-5.01);SO_A0177(-4.96)	5
MR1	N-Acetyl-D-Glucosamine	ShewMM_noCarbon	acgam		Optimal	0.2989	1	G6PDA		43	SO3506(-6.67);SO3189(-6.43);SO3505(-6.11);SO3507(-6.05);SO3172(-5.49);SO3175(-5.37);SO2489(-5.12);SO3179(-5.0);SO3503(-4.75);SO3191(-4.6);SO0617(-4.3);SO3193(-4.17)	5
MR1	Inosine	ShewMM_noCarbon	ins		Optimal	0.4624	1	INSt2	INSt2	14	SO1039(-5.09);SO2489(-5.0);SO1214(-4.55);SO2772(-3.41);SO2629(-3.38);SO1219(-3.28);SO2487(-3.26);SO1218(-3.11);SO2712(-3.11);SO0617(-2.9);SO3986(-2.44);SO1217(-2.32)	2
MR1	L-Isoleucine	ShewMM_noCarbon	ile__L		Optimal	0.7258	2	ATPS4rpp;GCDH	ATPS4rpp	147	SO1265(-6.49);SO3986(-5.93);SO1484(-5.74);SO2638(-5.65);SO2333(-5.64);SO0344(-5.42);SO2280(-5.3);SO1678(-5.26);SO2339(-5.24);SO1679(-5.2);SO2340(-5.2);SO3145(-5.12)	14
