condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
Maltotetraose	Varel_Bryant_medium	maltttr	high	2	1.8892366053833632e-05	False	EX_maltttr_e	509	64
Maltohexaose	Varel_Bryant_medium	malthx	high	2	1.8892366053842482e-05	False	EX_malthx_e	509	64
Laminaribiose	Varel_Bryant_medium	lmn2	medium	2	0.7808802389089432	True		56	61
Stachyose - 70%	Varel_Bryant_medium	stys	medium	2	1.886947807620733e-05	False	EX_stys_e	509	66
Melibiose	Varel_Bryant_medium	melib	high	2	1.886947807621649e-05	False	EX_melib_e	509	52
D-Glucose	Varel_Bryant_medium	glc__D	high	10	0.41856291168522314	True		57	61
D-Trehalose dihydrate	Varel_Bryant_medium	tre	high	4	1.8869478076204697e-05	False	EX_tre_e	509	71
D-Arabinose	Varel_Bryant_medium	arab__D	high	2	1.8869478076216464e-05	False		509	80
D-Raffinose pentahydrate	Varel_Bryant_medium	raffin	high	2	1.1989386933922546	True		57	71
L-Fucose	Varel_Bryant_medium	fuc__L	high	2	0.2124695441545958	True		60	63
Beta-Lactose	Varel_Bryant_medium	lcts	high	2	0.7530096752768004	True		56	70
D-Fructose	Varel_Bryant_medium	fru	high	2	1.8869478076207906e-05	False	EX_fru_e	509	70
D-Maltose monohydrate	Varel_Bryant_medium	malt	high	2	1.886947807621666e-05	False		509	69
L-Rhamnose monohydrate	Varel_Bryant_medium	rmn	high	2	0.2124695441546156	True		61	77
D-Mannose	Varel_Bryant_medium	man	high	2	1.8869478076215814e-05	False	EX_man_e	509	69
D-Xylose	Varel_Bryant_medium	xyl__D	high	2	0.3442414086681586	True		57	77
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	galur	high	2	0.3714500852556962	True		61	68
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	acgam	high	2	1.8869478076221215e-05	False	EX_acgam_e	509	68
L-Arabinose	Varel_Bryant_medium	arab__L	high	2	0.3442414086681449	True		60	75
D-Galactose	Varel_Bryant_medium	gal	high	2	0.29267271296232	True		57	70
D-Glucosamine Hydrochloride	Varel_Bryant_medium	gam	high	1	1.886947807622966e-05	False	EX_gam_e	509	62
D-Ribose	Varel_Bryant_medium	rib__D	high	1	0.26062971777090754	True		57	75
Red Arabinan from sugar-beet	Varel_Bryant_medium	araban__L	medium	3	1.0317153116009155	True		61	59
Amylose from potato	Varel_Bryant_medium	amylose300	medium	2	13.225036964354594	True		58	54
Starch	Varel_Bryant_medium	starch1200	medium	3	12.337306404617193	True		59	62
