condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Maltotetraose	Varel_Bryant_medium	1.8892366053833632e-05	509							
Maltohexaose	Varel_Bryant_medium	1.8892366053842482e-05	509							
Laminaribiose	Varel_Bryant_medium	0.7808802389089432	509	429.0	37.0	24.0	19.0	0.585534964294397	0.47564893010532505	0.8225080503512882
Stachyose - 70%	Varel_Bryant_medium	1.886947807620733e-05	509							
Melibiose	Varel_Bryant_medium	1.886947807621649e-05	509							
D-Glucose	Varel_Bryant_medium	0.41856291168522314	509	428.0	37.0	24.0	20.0	0.5787187237915689	0.5696560357438405	0.8093713407494145
D-Trehalose dihydrate	Varel_Bryant_medium	1.8869478076204697e-05	509							
D-Arabinose	Varel_Bryant_medium	1.8869478076216464e-05	509							
D-Raffinose pentahydrate	Varel_Bryant_medium	1.1989386933922546	509	421.0	40.0	31.0	17.0	0.5763163774878096	0.6167443901820572	0.8249726670525436
L-Fucose	Varel_Bryant_medium	0.2124695441545958	509	422.0	36.0	27.0	24.0	0.528624595823401	0.5172782056005687	0.8217488789237669
Beta-Lactose	Varel_Bryant_medium	0.7530096752768004	509	421.0	38.0	32.0	18.0	0.5523524747464207	0.5927633588045549	0.7709729905629678
D-Fructose	Varel_Bryant_medium	1.8869478076207906e-05	509							
D-Maltose monohydrate	Varel_Bryant_medium	1.886947807621666e-05	509							
L-Rhamnose monohydrate	Varel_Bryant_medium	0.2124695441546156	509	414.0	43.0	34.0	18.0	0.5701442072556073	0.6323512932159889	0.7629118566618566
D-Mannose	Varel_Bryant_medium	1.8869478076215814e-05	509							
D-Xylose	Varel_Bryant_medium	0.3442414086681586	509	415.0	40.0	37.0	17.0	0.5455546080921245	0.613822745099291	0.791065416065416
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.3714500852556962	509	419.0	39.0	29.0	22.0	0.5485357724420453	0.5664779559802543	0.8226457249566493
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	1.8869478076221215e-05	509							
L-Arabinose	Varel_Bryant_medium	0.3442414086681449	509	416.0	42.0	33.0	18.0	0.5699630350290795	0.6048026943596542	0.7873271889400921
D-Galactose	Varel_Bryant_medium	0.29267271296232	509	423.0	41.0	29.0	16.0	0.5998722718328913	0.5994262510515203	0.7872437357630981
D-Glucosamine Hydrochloride	Varel_Bryant_medium	1.886947807622966e-05	509							
D-Ribose	Varel_Bryant_medium	0.26062971777090754	509	416.0	39.0	36.0	18.0	0.5378656341844691	0.5497011371402897	0.7456374807987712
Red Arabinan from sugar-beet	Varel_Bryant_medium	1.0317153116009155	509	425.0	36.0	23.0	25.0	0.5466622899192085	0.5528559670896792	0.8377966101694916
Amylose from potato	Varel_Bryant_medium	13.225036964354594	509	430.0	33.0	21.0	25.0	0.539019888740978	0.5301364939072628	0.801058201058201
Starch	Varel_Bryant_medium	12.337306404617193	509	426.0	38.0	24.0	21.0	0.5781958425532706	0.5167026831700653	0.8094825719852782
