model_gene	browser_gene
NP_717778_1	SO2178
NP_718839_1	SO3285
NP_718840_1	SO3286
NP_718369_1	SO2791
NP_716442_1	SO0811
NP_718202_1	SO2617
NP_717993_1	SO2403
NP_717027_1	SO1407
YP_007001337_1	SO_1296
NP_717801_2	SO2203
NP_719834_1	SO4309
NP_719833_1	SO4308
NP_718976_1	SO3423
NP_717245_2	SO1634
NP_719016_1	SO3467
NP_715784_1	SO0142
NP_718201_1	SO2616
NP_719759_1	SO4232
NP_716981_1	SO1361
NP_718230_1	SO2646
NP_716387_1	SO0756
NP_715839_1	SO0197
NP_716001_1	SO0361
NP_716204_1	SO0569
NP_719745_1	SO4217
NP_719930_1	SO4407
NP_717183_1	SO1570
NP_719296_1	SO3759
NP_717795_1	SO2197
NP_718024_1	SO2434
NP_717774_1	SO2174
NP_719947_2	SO4425
NP_719978_1	SO4457
NP_716191_1	SO0555
NP_717257_1	SO1646
NP_719869_1	SO4345
NP_716765_2	SO_1140
NP_717487_1	SO1879
NP_719188_1	SO3646
NP_716403_1	SO0772
NP_718632_1	SO3067
NP_717517_1	SO1910
NP_716914_1	SO1292
NP_718178_1	SO2592
NP_719235_1	SO3695
NP_718704_2	SO3148
NP_719255_1	SO3715
NP_716823_1	SO1198
NP_715927_1	SO0287
NP_716148_1	SO0512
NP_717143_1	SO1526
NP_719076_1	SO3529
NP_717992_1	SO2402
NP_719768_1	SO4241
NP_717949_1	SO2359
NP_716951_1	SO1331
NP_716048_1	SO0410
NP_716051_1	SO0413
NP_719353_1	SO3817
NP_719873_1	SO4349
NP_716840_1	SO1217
NP_718198_1	SO2613
NP_718698_1	SO3140
NP_716844_1	SO1221
NP_716841_1	SO1218
NP_719777_1	SO4250
NP_717246_1	SO1635
NP_717142_1	SO1525
NP_717139_1	SO1522
NP_716458_1	SO0827
NP_716560_1	SO0931
NP_716174_1	SO0538
NP_718651_2	SO3088
NP_716207_1	SO0572
NP_718073_1	SO2486
NP_718074_1	SO2487
NP_719285_1	SO3746
NP_717691_1	SO2088
NP_718993_2	SO3440
NP_718678_1	SO3116
NP_717519_1	SO1912
NP_718353_1	SO2772
NP_719205_1	SO3664
NP_718167_1	SO2581
NP_717578_1	SO1971
NP_717354_1	SO1744
NP_715717_2	SO0075
NP_715995_1	SO0355
NP_716140_1	SO0504
NP_719276_1	SO3737
NP_719277_1	SO3738
NP_716562_1	SO0933
NP_719521_1	SO3991
NP_717625_2	SO2019
NP_715746_1	SO0104
NP_720031_1	SO4511
NP_715744_1	SO0102
NP_715743_1	SO0101
NP_715745_1	SO0103
NP_716617_1	SO0988
NP_719592_1	SO4062
NP_716810_1	SO1185
NP_717393_1	SO1784
NP_716373_1	SO0742
NP_716374_1	SO0743
NP_716375_1	SO0744
NP_719843_1	SO4318
NP_719675_1	SO4146
NP_717436_1	SO1828
NP_717193_1	SO1580
NP_720081_1	SO4564
NP_718335_1	SO2751
NP_718334_1	SO2750
YP_007001412_1	SO_4422
NP_719827_2	SO4302
NP_719726_2	SO4198
NP_717920_1	SO2330
NP_716378_1	SO0747
NP_719080_1	SO3533
NP_718946_1	SO3392
NP_716405_1	SO0774
NP_716519_1	SO0888
NP_718481_1	SO2911
NP_716034_1	SO0396
NP_716037_1	SO0399
NP_716036_1	SO0398
NP_716952_1	SO1332
NP_719493_1	SO3963
NP_719495_1	SO3965
NP_717235_2	SO1624
NP_716196_1	SO0560
NP_717819_1	SO2222
NP_720261_1	SO4745
NP_718742_1	SO3186
NP_716920_1	SO1300
NP_717856_1	SO2260
NP_720118_1	SO4602
NP_719343_1	SO3807
NP_716607_1	SO0978
NP_715695_1	SO0053
NP_716747_1	SO1122
NP_718076_1	SO2489
NP_719094_1	SO3547
NP_716327_1	SO0694
NP_716326_1	SO0693
NP_720194_1	SO4679
NP_717276_1	SO1665
NP_719050_1	SO3503
NP_717937_1	SO2347
NP_717935_1	SO2345
NP_718733_1	SO3177
NP_718343_1	SO2761
NP_715999_1	SO0359
NP_719004_1	SO3455
NP_719053_1	SO3506
NP_720257_1	SO4741
NP_716890_1	SO1267
NP_716897_1	SO1274
NP_716891_1	SO1268
NP_717111_2	SO1494
NP_717381_1	SO1771
NP_717540_1	SO1933
NP_717113_1	SO1496
NP_717116_1	SO1499
NP_717112_1	SO1495
NP_717115_1	SO1498
NP_719933_1	SO4410
NP_716746_1	SO1121
NP_719106_2	SO3559
NP_718179_1	SO2593
NP_718919_1	SO3365
NP_718629_1	SO3064
NP_715848_3	SO0207
NP_716945_1	SO1325
NP_716944_1	SO1324
