gene	classification	growth_ratio
YDR508C	TP	1
YDR513W	TP	1
YDR516C	TP	1
YDR529C	TP	0.196833
YDR530C	TP	1
YDR531W	TN	1.19216e-11
YDR533C	TP	1
YDR536W	TP	1
YDR538W	TP	1
YDR539W	TP	1
YEL004W	TP	1
YEL006W	TP	1
YEL017C-A	TP	1
YEL021W	TP	1
YEL024W	TP	0.196833
YEL027W	TP	1
YEL029C	TP	1
YEL031W	TP	1
YEL038W	TP	1
YEL039C	TP	1
YEL041W	TP	1
YEL042W	TP	1
YEL046C	TP	1
YEL047C	TP	1
YEL051W	TP	1
YEL058W	TN	0
YEL063C	TP	1
YEL066W	TP	1
YEL069C	TP	1
YEL071W	TP	1
YER003C	TN	0
YER005W	TP	1
YER010C	TP	1
YER014W	FN	0
YER015W	TP	0.999929
YER019W	TP	1
YER023W	FP	0.988131
YER024W	TP	1
YER026C	FN	-9.82294e-17
YER037W	TP	1
YER042W	TP	1
YER043C	TN	3.5517e-16
YER052C	TP	0.755558
YER053C	TP	1
YER055C	TP	1
YER056C	TP	1
YER060W	TP	1
YER060W-A	TP	1
YER061C	TP	1
YER062C	TP	1
YER065C	TP	1
YER069W	TP	0.914516
YER070W	TP	1
YER073W	TP	1
YER081W	TP	1
YER086W	TP	1
YER087W	TP	1
YER090W	TP	1
YER091C	TP	0.969675
YER099C	TP	1
YER119C	TP	1
YER141W	TP	1
YER152C	TP	1
YER163C	TP	1
YER170W	TP	1
YER174C	TP	1
YER175C	TP	1
YER178W	TP	0.980143
YER183C	TP	1
YFL001W	TP	1
YFL011W	TP	1
YFL017C	TN	0
YFL018C	TP	0.980143
YFL022C	TN	0
YFL030W	TP	1
YFL045C	TN	0
YFL053W	TP	1
YFL055W	TP	1
YFL058W	TP	1
YFL059W	TP	1
YFL060C	TP	1
YFR015C	TP	1
YFR019W	TP	1
YFR021W	TP	1
YFR025C	TP	1
YFR030W	TP	1
YFR033C	TP	0.196833
YFR044C	TP	1
YFR047C	TP	0.999785
YFR049W	TP	1
YFR053C	TP	1
YGL001C	FP	1
YGL006W	TP	1
YGL008C	FP	1
YGL009C	TP	0.490139
YGL012W	TP	1
YGL026C	TP	1
YGL027C	TP	1
YGL037C	TP	1
YGL038C	TP	1
YGL040C	TN	0
YGL047W	FP	1
YGL055W	TN	-2.02046e-16
YGL062W	TP	1
YGL063W	TP	1
YGL065C	FP	1
YGL067W	TP	1
YGL077C	TP	1
YGL080W	TP	1
YGL084C	TP	1
YGL125W	TP	0.969675
YGL142C	FP	1
YGL148W	TP	1
YGL154C	TP	0.539427
YGL156W	TP	1
YGL167C	TP	1
YGL169W	FP	1
YGL184C	TP	1
YGL186C	TP	0.97439
YGL187C	TP	1
YGL191W	TP	1
YGL196W	TP	1
YGL202W	TP	1
YGL205W	TP	0.995555
YGL224C	TP	1
YGL225W	FP	1
YGL234W	TP	1
YGL245W	TN	0
YGL248W	TP	1
YGL253W	TP	1
YGL255W	TP	1
YGL256W	TP	1
YGR007W	TP	1
YGR010W	TP	1
YGR012W	TP	1
YGR019W	TP	1
YGR020C	TP	1
YGR032W	TP	1
YGR036C	TP	1
YGR038W	TP	1
YGR043C	TP	1
YGR046W	FP	1
YGR055W	TP	1
YGR060W	FP	1
YGR061C	TP	1
YGR062C	TP	1
YGR065C	FP	1
YGR087C	TP	1
YGR088W	TP	1
YGR094W	TN	0
YGR096W	TP	1
YGR106C	TP	1
YGR110W	TP	1
YGR121C	TP	1
YGR124W	TP	1
YGR138C	TP	1
YGR143W	TP	1
YGR144W	TP	1
YGR154C	TP	1
YGR155W	TP	1
YGR157W	FN	2.02533e-18
YGR170W	TP	1
YGR171C	TP	1
YGR175C	FP	1
YGR177C	TP	1
YGR180C	TP	1
YGR183C	TP	0.196833
YGR185C	TN	0
YGR191W	FP	1
YGR192C	TP	1
YGR193C	TP	0.980143
YGR194C	TP	1
YGR202C	TP	1
YGR204W	TP	0.999837
YGR208W	TP	0.992051
YGR209C	TP	1
YGR216C	FP	1
YGR227W	TP	1
YGR234W	TP	1
YGR240C	TP	1
YGR243W	TP	1
YGR244C	TP	0.98935
YGR247W	TP	1
YGR248W	TP	1
YGR254W	TP	1
YGR255C	TP	1
YGR256W	TP	1
YGR260W	TP	1
YGR264C	TN	0
YGR267C	TN	0
YGR277C	FP	0.999705
YGR282C	TP	1
YGR286C	TP	1
YGR287C	TP	1
YGR289C	TP	1
YGR292W	TP	1
YHL003C	TP	1
YHL011C	TP	1
YHL016C	TP	1
YHL032C	TP	1
YHL036W	TP	1
YHR001W-A	TP	0.196833
YHR002W	TP	1
YHR007C	FP	1
YHR008C	TP	1
YHR011W	TP	1
YHR013C	TP	1
YHR018C	TP	0.914516
YHR019C	TN	0
YHR020W	TN	0
YHR025W	TP	0.755558
YHR026W	TP	1
YHR037W	TP	1
YHR039C-A	TP	1
YHR042W	FP	1
YHR043C	TP	1
YHR044C	TP	1
YHR046C	TP	1
YHR051W	TP	1
YHR063C	TP	1
YHR067W	TP	1
YHR068W	FP	1
YHR072W	FP	1
YHR074W	TN	-1.65772e-14
YHR091C	TP	1
YHR092C	TP	1
YHR094C	TP	1
YHR096C	TP	1
YHR100C	TP	1
YHR104W	TP	1
YHR106W	TP	1
YHR109W	TP	1
YHR116W	TP	1
YHR123W	TP	1
YHR128W	FP	1
YHR137W	TP	1
YHR144C	TP	0.999988
YHR162W	TP	1
YHR163W	TP	1
YHR174W	TP	1
YHR183W	TP	1
YHR190W	FP	1
YHR201C	TP	1
YHR208W	TP	0.564794
YHR215W	TP	1
YHR216W	TP	1
YIL002C	TP	1
YIL006W	TP	1
YIL009W	TP	1
YIL010W	TP	1
YIL013C	TP	1
YIL020C	TP	1
YIL023C	TP	1
YIL043C	TP	1
YIL048W	FP	1
YIL053W	TP	1
YIL066C	TP	1
YIL074C	TP	1
YIL078W	TN	0
YIL083C	TN	-2.11826e-12
YIL094C	TP	0.539427
YIL099W	TP	1
YIL107C	TP	1
YIL111W	TP	1
YIL116W	TP	1
YIL124W	TP	1
YIL125W	TP	0.98935
YIL134W	TP	1
YIL145C	TP	1
YIL155C	TP	1
YIL160C	TP	0.995555
YIL162W	TP	1
YIL172C	TP	1
YIR027C	TP	1
YIR028W	TP	1
YIR029W	TP	1
YIR031C	TP	1
YIR032C	TP	1
YIR034C	TP	0.539427
YIR037W	TP	1
YJL003W	TP	1
YJL005W	FP	1
YJL012C	TP	1
YJL026W	FP	1
YJL045W	TP	1
YJL052W	TP	1
YJL060W	TP	1
YJL068C	TP	1
YJL071W	TP	1
YJL088W	TP	0.914516
YJL091C	FP	1
YJL097W	FP	0.9952
YJL100W	TP	1
YJL101C	TN	0
YJL121C	TP	1
YJL126W	TP	1
YJL129C	TP	1
YJL130C	TP	1
YJL133W	TP	1
YJL134W	TP	1
YJL137C	TP	1
YJL139C	TP	1
YJL153C	TP	1
YJL155C	TP	1
YJL166W	TP	0.196833
YJL167W	TN	0
YJL196C	TP	1
YJL198W	TP	1
YJL200C	TP	1
YJL212C	TP	1
YJL214W	TP	1
YJL216C	TP	1
YJL219W	TP	1
YJL221C	TP	1
YJR001W	TP	1
YJR009C	TP	1
YJR010W	TP	1
YJR013W	FP	1
YJR016C	FP	0.524825
YJR019C	TP	1
YJR024C	TP	1
YJR025C	TP	0.999785
YJR040W	TP	1
YJR048W	TP	1
YJR049C	TP	1
YJR051W	TP	1
YJR057W	FP	1
YJR069C	TP	1
YJR073C	FN	-6.93789e-20
YJR077C	TP	1
YJR078W	TP	0.999785
YJR095W	TP	1
YJR103W	TP	1
YJR104C	TP	1
YJR105W	TP	0.999474
YJR109C	TP	1
YJR110W	TP	1
YJR121W	TP	0.377022
YJR130C	TP	1
YJR131W	TP	1
YJR133W	TP	1
YJR137C	TP	1
YJR139C	TP	0.755558
YJR143C	TP	1
YJR148W	TP	0.490139
YJR152W	TP	1
YJR153W	TP	1
YJR155W	TP	1
YJR158W	TP	1
YJR159W	TP	1
YJR160C	TP	1
YKL001C	TP	1
YKL004W	FP	1
YKL008C	TP	1
YKL016C	TP	0.377022
YKL019W	FP	1
YKL024C	TN	-4.80782e-14
YKL026C	TP	1
YKL029C	TP	0.990191
YKL035W	FP	1
YKL055C	TP	1
YKL060C	FP	1
YKL067W	FN	1.93454e-18
YKL069W	TP	1
YKL080W	TP	1
YKL085W	TP	1
YKL087C	TP	1
YKL088W	TN	1.12912e-13
YKL094W	TP	1
YKL103C	TP	1
YKL104C	TN	2.86996e-31
YKL106W	TP	1
YKL120W	TP	0.999306
YKL127W	TP	1
YKL132C	TP	1
YKL140W	TP	1
YKL141W	FP	0.983106
YKL146W	TP	1
YKL148C	TP	1
YKL150W	TP	1
YKL152C	FP	1
YKL165C	FP	1
YKL174C	TP	1
YKL181W	TP	1
YKL182W	FP	1
YKL184W	TP	1
YKL188C	TP	0.99991
YKL192C	TP	1
YKL194C	TP	1
YKL211C	TP	1
YKL212W	TP	1
YKL215C	TP	1
YKL216W	TP	1
YKL217W	TP	1
YKL218C	TP	1
YKL220C	TP	1
YKR009C	TP	0.995555
YKR031C	TP	1
YKR039W	FN	0
YKR043C	TP	1
YKR052C	TP	1
YKR053C	TP	1
YKR058W	TP	1
YKR061W	TP	1
YKR066C	TP	1
YKR067W	FN	-1.59019e-13
YKR069W	TP	1
YKR072C	FN	1.3924e-13
YKR076W	TP	1
YKR080W	TP	0.999837
YKR089C	TP	1
YKR093W	TP	1
YKR097W	TP	1
YLL001W	TP	1
YLL012W	TP	1
YLL015W	TP	1
YLL018C	TN	-1.96659e-16
YLL018C-A	TP	1
YLL028W	TP	1
YLL031C	FP	1
YLL041C	TP	0.983106
YLL043W	TP	1
YLL048C	TP	1
YLL051C	TP	1
YLL052C	TP	1
YLL057C	TP	1
YLL061W	TP	1
YLL062C	TP	1
YLR011W	TP	1
YLR017W	TP	1
YLR020C	TP	1
YLR027C	TP	0.79919
YLR028C	TP	1
YLR038C	TP	1
YLR043C	TP	1
YLR044C	TP	1
YLR047C	TP	1
YLR056W	TP	1
YLR057W	TP	1
YLR058C	TP	0.999708
YLR060W	TN	0
YLR070C	TP	1
YLR081W	TP	1
YLR089C	TP	1
YLR092W	TP	1
YLR100W	FP	1
YLR109W	TP	1
YLR130C	TP	1
YLR133W	TP	1
YLR134W	TP	1
YLR138W	TP	1
YLR142W	TP	1
YLR146C	TP	1
YLR151C	TP	1
YLR153C	FP	1
YLR155C	TP	1
YLR157C	TP	1
YLR158C	TP	1
YLR160C	TP	1
YLR164W	TP	1
YLR172C	TP	1
YLR174W	TP	1
YLR180W	TP	1
YLR189C	TP	1
YLR201C	TP	1
YLR209C	TP	0.999659
YLR214W	TP	1
YLR231C	TP	0.999785
YLR237W	TP	1
YLR240W	TP	1
YLR244C	TP	1
YLR245C	TP	1
YLR258W	TP	1
YLR260W	TP	1
YLR284C	TP	1
YLR285W	TP	1
YLR286C	TP	1
YLR295C	TP	0.377022
YLR299W	TP	1
YLR300W	TP	1
YLR303W	TP	1
YLR304C	TP	1
YLR305C	FP	1
YLR307W	TP	1
YLR308W	TP	1
YLR328W	TP	1
YLR342W	TP	1
YLR348C	TP	1
YLR350W	TP	1
YLR351C	TP	1
YLR354C	TP	1
YLR355C	FP	0.524825
YLR359W	FP	1
YLR360W	TP	1
YLR372W	TP	1
YLR377C	TP	1
YLR382C	TP	1
YLR386W	TP	1
YLR395C	TP	1
YLR410W	TP	1
YLR420W	TP	1
YLR432W	TP	1
YLR438W	TP	1
YLR447C	TP	1
YLR450W	TP	1
YML004C	TP	1
YML008C	TP	1
YML022W	TP	1
YML035C	TP	1
YML042W	TP	1
YML054C	TP	1
YML056C	TP	1
YML059C	TP	1
YML070W	TP	1
YML075C	TP	1
YML081C-A	TP	0.377022
YML086C	TP	1
YML100W	TP	1
YML106W	TP	1
YML110C	TP	1
YML120C	TP	1
YML123C	TP	1
YML125C	FP	1
