iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_nrpphr[bc]	nrpphr	bc	blood	Decreased	blood	Decreased (blood)	False	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_3moxtyr[u]	3moxtyr	u	urine	Increased	urine	Increased (urine)	True	356	405
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_3ivcrn[u]	3ivcrn	u	urine	Increased	urine	Increased (urine)	False	407	428
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_acac[u]	acac	u	urine	Increased	urine	Increased (urine)	False	407	428
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_acetone[u]	acetone	u	urine	Increased	urine	Increased (urine)	False	407	428
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_bhb[u]	bhb	u	urine	Increased	urine	Increased (urine)	False	407	428
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_CE2026[u]	CE2026	u	urine	Increased	urine	Increased (urine)	False	407	428
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_3hivac[u]	3hivac	u	urine	Increased	urine	Increased (urine)	False	407	428
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_aldstrn[bc]	aldstrn	bc	blood	Increased	blood	Increased (blood)	False	430	480
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_crtsl[bc]	crtsl	bc	blood	Decreased	blood	Decreased (blood)	False	430	480
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_prgstrn[bc]	prgstrn	bc	blood	Increased	blood	Increased (blood)	False	430	480
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_andrstndn[bc]	andrstndn	bc	blood	Increased	blood	Increased (blood)	False	430	480
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_andrstrn[bc]	andrstrn	bc	blood	Increased	blood	Increased (blood)	False	430	480
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_dhea[bc]	dhea	bc	blood	Increased	blood	Increased (blood)	False	430	480
HYCARO	10	Autosomal Dominant Hypercarotenemia And Vitamin A Deficiency	53630.1	_BCDO	DM_caro[bc]	caro	bc	blood	Increased	blood	Increased (blood)	False	482	511
BTD	11	BTD Biotinidase Deficiency	686.1		DM_3ivcrn[bc]	3ivcrn	bc	blood	Increased	blood	Increased (blood)	False	513	574
BTD	11	BTD Biotinidase Deficiency	686.1		DM_acac[bc]	acac	bc	blood	Increased	blood	Increased (blood)	False	513	574
BTD	11	BTD Biotinidase Deficiency	686.1		DM_acetone[bc]	acetone	bc	blood	Increased	blood	Increased (blood)	False	513	574
BTD	11	BTD Biotinidase Deficiency	686.1		DM_bhb[bc]	bhb	bc	blood	Increased	blood	Increased (blood)	False	513	574
BTD	11	BTD Biotinidase Deficiency	686.1		EX_lac_L[u]	lac_L	u	urine	Increased	urine	Increased (urine)	True	513	574
BTD	11	BTD Biotinidase Deficiency	686.1		EX_nh4[u]	nh4	u	urine	Increased	urine	Increased (urine)	True	513	574
BTD	11	BTD Biotinidase Deficiency	686.1		EX_3hpp[u]	3hpp	u	urine	Increased	urine	Increased (urine)	True	513	574
BTD	11	BTD Biotinidase Deficiency	686.1		EX_CE2026[u]	CE2026	u	urine	Increased	urine	Increased (urine)	True	513	574
BTD	11	BTD Biotinidase Deficiency	686.1		EX_2mcit[u]	2mcit	u	urine	Increased	urine	Increased (urine)	True	513	574
CRFD	12	CRFD Classic Refsum Disease	5264.1	_PHYHx;_RE3066X	DM_phyt[bc]	phyt	bc	blood	Increased	blood	Increased (blood)	False	577	608
CRFD	12	CRFD Classic Refsum Disease	5264.1	_PHYHx;_RE3066X	DM_prist[bc]	prist	bc	blood	Decreased	blood	Decreased (blood)	False	577	608
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_crtsl[bc]	crtsl	bc	blood	Decreased	blood	Decreased (blood)	False	611	654
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_crtstrn[bc]	crtstrn	bc	blood	Decreased	blood	Decreased (blood)	False	611	654
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_andrstndn[bc]	andrstndn	bc	blood	Decreased	blood	Decreased (blood)	False	611	654
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_dhea[bc]	dhea	bc	blood	Decreased	blood	Decreased (blood)	False	611	654
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_11docrtstrn[bc]	11docrtstrn	bc	blood	Decreased	blood	Decreased (blood)	False	611	654
CMO1	14	CMO1 Corticosterone Methyloxidase Type I Deficiency	1585.1	_P45011B21m	DM_aldstrn[bc]	aldstrn	bc	blood	Decreased	not detectable, blood	Decreased (Not detectable, blood)	False	656	686
DGK	15	DGK Deoxyguanosine Kinase Deficiency	1716.1	_r0456	DM_lac_L[bc]	lac_L	bc	blood	Increased	blood	Increased (blood)	False	688	720
DPYR	16	DPYR Dihydropyrimidinuria	1807.1	_DHPM2	EX_thym[u]	thym	u	urine	Increased	urine	Increased (urine)	False	722	741
DPYR	16	DPYR Dihydropyrimidinuria	1807.1	_DHPM2	EX_ura[u]	ura	u	urine	Increased	urine	Increased (urine)	False	722	741
DPYR	16	DPYR Dihydropyrimidinuria	1807.1	_DHPM2	EX_56dura[u]	56dura	u	urine	Increased	urine	Increased (urine)	False	722	741
DPYR	16	DPYR Dihydropyrimidinuria	1807.1	_DHPM2	EX_56dthm[u]	56dthm	u	urine	Increased	urine	Increased (urine)	False	722	741
FED	17	FED Fish-Eye Disease/ Lcat Deficiency	3931.1		DM_chsterol[bc]	chsterol	bc	blood	Decreased	blood	Decreased (blood)	False	743	782
FED	17	FED Fish-Eye Disease/ Lcat Deficiency	3931.1		DM_tag_hs[bc]	tag_hs	bc	blood	Increased	blood	Increased (blood)	False	743	782
EF	18	EF Fructosuria(Essential Fructosuria)	3795.1	_HMR_8761;_HMR_9800;_KHK;_KHK2;_KHK3	EX_fru[u]	fru	u	urine	Increased	urine	Increased (urine)	False	784	800
FIGLU	19	FIGLU Glutamate Formiminotransferase Deficiency	10841.1	_FORTHFC;_GluForTx;_HMR_9726	EX_forglu[u]	forglu	u	urine	Increased	urine	Increased (urine)	False	802	818
GA1	20	GA1 Glutaric Acidemia Type I.	2639.1	_GLUTCOADHm;_r0541	EX_c5dc[u]	c5dc	u	urine	Increased	blood/urine	Increased (blood/urine)	True	820	852
GA1	20	GA1 Glutaric Acidemia Type I.	2639.1	_GLUTCOADHm;_r0541	DM_c5dc[bc]	c5dc	bc	blood	Increased	blood/urine	Increased (blood/urine)	False	820	852
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_c10crn[bc]	c10crn	bc	blood	Increased	blood	Increased (blood)	False	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_c4crn[bc]	c4crn	bc	blood	Increased	blood	Increased (blood)	False	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_ddeccrn[bc]	ddeccrn	bc	blood	Increased	blood	Increased (blood)	False	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_ttdcrn[bc]	ttdcrn	bc	blood	Increased	blood	Increased (blood)	False	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	DM_pmtcrn[bc]	pmtcrn	bc	blood	Increased	blood	Increased (blood)	False	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_4hpro_LT[u]	4hpro_LT	u	urine	Increased	urine	Increased (urine)	True	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_3hivac[u]	3hivac	u	urine	Increased	urine	Increased (urine)	True	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_CE4970[u]	CE4970	u	urine	Increased	urine	Increased (urine)	True	854	917
